"rank","title","price","rating","link","SKU","image_link"
"#1","Echo Dot (5th Gen) | smart bluetooth speaker with vibrant sound and Alexa | Use your voice to control smart home devices, play the Quran or music, and more (speaks English & Khaleeji) | Charcoal","SAR 139.99","4.6","https://www.amazon.sa//-/en/echo-dot/dp/B09B8MMZ4P/ref=zg_bs_g_amazon-devices_d_sccl_1/258-3244075-3463307?psc=1","B09B8MMZ4P","https://images-eu.ssl-images-amazon.com/images/I/71C3lbbeLsL._AC_UL600_SR600,400_.jpg"
"#2","Echo Dot (5th Gen) | smart bluetooth speaker with clock and Alexa | Use your voice to control smart home devices, play the Quran or music, and more (speaks English & Khaleeji Arabic) | Cloud Blue","SAR 189.99","4.6","https://www.amazon.sa//-/en/echo-dot-with-clock/dp/B09B8MDXD6/ref=zg_bs_g_amazon-devices_d_sccl_2/258-3244075-3463307?psc=1","B09B8MDXD6","https://images-eu.ssl-images-amazon.com/images/I/71yf6yTNWSL._AC_UL600_SR600,400_.jpg"
"#3","Echo Pop | Full sound compact Wi-Fi & Bluetooth smart speaker with Alexa | Use your voice to control smart home devices, play the Quran or music, and more (speaks English & Khaleeji) | Charcoal","SAR 99.99","4.6","https://www.amazon.sa//-/en/echo-pop/dp/B09WX3SX3P/ref=zg_bs_g_amazon-devices_d_sccl_3/258-3244075-3463307?psc=1","B09WX3SX3P","https://images-eu.ssl-images-amazon.com/images/I/613dEoF9-rL._AC_UL600_SR600,400_.jpg"
"#4","Echo Dot (5th Gen) | smart bluetooth speaker with vibrant sound and Alexa | Use your voice to control smart home devices, play the Quran or music, and more (speaks English & Khaleeji) | White","SAR 139.99","4.6","https://www.amazon.sa//-/en/echo-dot/dp/B09B8P616Q/ref=zg_bs_g_amazon-devices_d_sccl_4/258-3244075-3463307?psc=1","B09B8P616Q","https://images-eu.ssl-images-amazon.com/images/I/71YVBa7zc5L._AC_UL600_SR600,400_.jpg"
"#5","Echo Dot (5th Gen) | smart bluetooth speaker with vibrant sound and Alexa | Use your voice to control smart home devices, play the Quran or music, and more (speaks English & Khaleeji) | Blue","SAR 139.99","4.6","https://www.amazon.sa//-/en/echo-dot/dp/B09B96WPG8/ref=zg_bs_g_amazon-devices_d_sccl_5/258-3244075-3463307?psc=1","B09B96WPG8","https://images-eu.ssl-images-amazon.com/images/I/61j3SEUjMJL._AC_UL600_SR600,400_.jpg"
"#6","Kindle (2022 release) – The lightest and most compact Kindle, now with a 6”, 300 ppi high-resolution display, and 2x the storage | Black","SAR 299.00","4.5","https://www.amazon.sa//-/en/kindle-%D8%A5%D8%B5%D8%AF%D8%A7%D8%B1-2022/dp/B09SWTG9GF/ref=zg_bs_g_amazon-devices_d_sccl_6/258-3244075-3463307?psc=1","B09SWTG9GF","https://images-eu.ssl-images-amazon.com/images/I/51Knn1dABuL._AC_UL600_SR600,400_.jpg"
"#7","Chromecast with Google TV (4K) Snow - Streaming Stick Entertainment on Your TV with Voice Search Watch Movies Shows and Live TV in 4K HDR - (G9N9N;GZRNL)","SAR 195.90","4.6","https://www.amazon.sa//-/en/Chromecast-Google-Snow-Streaming-Entertainment/dp/B08KRV7S22/ref=zg_bs_g_amazon-devices_d_sccl_7/258-3244075-3463307?psc=1","B08KRV7S22","https://images-eu.ssl-images-amazon.com/images/I/41rKN5VN0oL._AC_UL600_SR600,400_.jpg"
"#8","Echo Pop | Full sound compact Wi-Fi and Bluetooth smart speaker with Alexa | Use your voice to control smart home devices, play the Quran or Music, and more (speaks English & Khaleeji) | Teal","SAR 99.99","4.6","https://www.amazon.sa//-/en/echo-pop/dp/B09ZWWM5WG/ref=zg_bs_g_amazon-devices_d_sccl_8/258-3244075-3463307?psc=1","B09ZWWM5WG","https://images-eu.ssl-images-amazon.com/images/I/718xgICO2KL._AC_UL600_SR600,400_.jpg"
"#9","Echo Pop | Full sound compact Wi-Fi & Bluetooth smart speaker with Alexa | Use your voice to control smart home devices, play the Quran or music, and more (speaks English & Khaleeji) | Lavender","SAR 99.99","4.6","https://www.amazon.sa//-/en/echo-pop/dp/B09ZXG62C9/ref=zg_bs_g_amazon-devices_d_sccl_9/258-3244075-3463307?psc=1","B09ZXG62C9","https://images-eu.ssl-images-amazon.com/images/I/71+5dhkUm6L._AC_UL600_SR600,400_.jpg"
"#10","Kindle Paperwhite Signature Edition (32 GB) – With a 6.8"" display, wireless charging, and auto-adjusting front light","SAR 599.00","4.5","https://www.amazon.sa//-/en/kindle-paperwhite-signature-edition-32-gb-with-a-68-display-wireless-charging-and-auto-adjusting-front-light/dp/B08N2ZL7PS/ref=zg_bs_g_amazon-devices_d_sccl_10/258-3244075-3463307?psc=1","B08N2ZL7PS","https://images-eu.ssl-images-amazon.com/images/I/51N5CsWCIBL._AC_UL600_SR600,400_.jpg"
"#11","Echo Pop | Full sound compact Wi-Fi & Bluetooth smart speaker with Alexa | Use your voice to control smart home devices, play the Quran or music, and more (speaks English & Khaleeji) | Glacier","SAR 99.99","4.6","https://www.amazon.sa//-/en/echo-pop/dp/B09ZX7WLNP/ref=zg_bs_g_amazon-devices_d_sccl_11/258-3244075-3463307?psc=1","B09ZX7WLNP","https://images-eu.ssl-images-amazon.com/images/I/71HV8Zp3kHL._AC_UL600_SR600,400_.jpg"
"#12","Kindle (2022 release) – The lightest and most compact Kindle, now with a 6”, 300 ppi high-resolution display, and 2x the storage | Denim","SAR 299.00","4.5","https://www.amazon.sa//-/en/kindle-%D8%A5%D8%B5%D8%AF%D8%A7%D8%B1-2022/dp/B09SWV1FSS/ref=zg_bs_g_amazon-devices_d_sccl_12/258-3244075-3463307?psc=1","B09SWV1FSS","https://images-eu.ssl-images-amazon.com/images/I/51KOrMI324L._AC_UL600_SR600,400_.jpg"
"#13","All-new Echo Show 5 | (3rd Gen, 2023 release), Smart Display & alarm clock with clearer sound | Use your voice to control smart home devices, play music or Quran, & more (speaks Khaleeji) | Charcoal","SAR 239.99","5.0","https://www.amazon.sa//-/en/echo-show-5-3rd-gen/dp/B09B2RZMM2/ref=zg_bs_g_amazon-devices_d_sccl_13/258-3244075-3463307?psc=1","B09B2RZMM2","https://images-eu.ssl-images-amazon.com/images/I/51k8deIoyyL._AC_UL600_SR600,400_.jpg"
"#14","All-new Echo Show 8 | 3rd generation (2023 release), HD smart touchscreen with spatial audio, smart home hub and Alexa, Charcoal","SAR 509.99","4.4","https://www.amazon.sa//-/en/echo-show-8-3rd-generation-2023-release-hd-smart-touchscreen-with-spatial-audio-smart-home-hub-and-alexa/dp/B0BLRZTX7Q/ref=zg_bs_g_amazon-devices_d_sccl_14/258-3244075-3463307?psc=1","B0BLRZTX7Q","https://images-eu.ssl-images-amazon.com/images/I/51brSejD0FL._AC_UL600_SR600,400_.jpg"
"#15","All-new Echo Show 5 (3rd Gen, 2023 release) | Smart display & alarm clock with clearer sound | Use your voice to control smart home devices, play music or the Quran, & more (speaks Khaleeji) | White","SAR 239.99","5.0","https://www.amazon.sa//-/en/echo-show-5-3rd-gen/dp/B09B2SB37W/ref=zg_bs_g_amazon-devices_d_sccl_15/258-3244075-3463307?psc=1","B09B2SB37W","https://images-eu.ssl-images-amazon.com/images/I/51J3H80b8VL._AC_UL600_SR600,400_.jpg"
"#16","Mi Box S, Smart TV Box, Intelligent 4K Ultra HD Media Player, work with Projector, TVs & Mobile Phones, powered by Android 8.1, - International Version- Black","SAR 199.00","4.1","https://www.amazon.sa//-/en/Intelligent-Player-Projector-powered-Android/dp/B084ZW5X6F/ref=zg_bs_g_amazon-devices_d_sccl_16/258-3244075-3463307?psc=1","B084ZW5X6F","https://images-eu.ssl-images-amazon.com/images/I/619oxlqyJqL._AC_UL600_SR600,400_.jpg"
"#17","Kindle Paperwhite Fabric Cover (11th Generation-2021) - Black","SAR 89.00","4.8","https://www.amazon.sa//-/en/kindle-paperwhite-fabric-cover-11th-generation-2021/dp/B08VZCBWN8/ref=zg_bs_g_amazon-devices_d_sccl_17/258-3244075-3463307?psc=1","B08VZCBWN8","https://images-eu.ssl-images-amazon.com/images/I/619mrZUQXWL._AC_UL600_SR600,400_.jpg"
"#18","All-new Echo Show 5 (3rd Gen, 2023 release) | Smart display & alarm clock with clearer sound | Use your voice to control smart home devices, play music or the Quran, & more (speaks Khaleeji) | Blue","SAR 239.99","5.0","https://www.amazon.sa//-/en/echo-show-5-3rd-gen/dp/B09B2T2X5C/ref=zg_bs_g_amazon-devices_d_sccl_18/258-3244075-3463307?psc=1","B09B2T2X5C","https://images-eu.ssl-images-amazon.com/images/I/51nJZBt1pFL._AC_UL600_SR600,400_.jpg"
