"rank","title","price","rating","link","SKU","image_link"
"#1","Airwick Lavender & Camomile Freshmatic Auto Spray Air Freshener Kit","SAR 25.95","4.3","https://www.amazon.sa//-/en/Lavender-Camomile-Freshmatic-Air-Freshener/dp/B07TKDRHFB/ref=zg_bs_g_automotive_d_sccl_1/262-8772563-5632265?psc=1","B07TKDRHFB","https://images-eu.ssl-images-amazon.com/images/I/714IE2p82jL._AC_UL600_SR600,400_.jpg"
"#2","Car Drying Towel,ShowTop Free Microfiber Cleaning Cloth,Premium Professional Soft Microfiber Towel,Super Absorbent Detailing Towel for Car/Windows/Screen/Kitchen,40x30cm 3Pack","SAR 18.95","4.4","https://www.amazon.sa//-/en/ShowTop-Microfiber-Professional-Absorbent-Detailing/dp/B08GS6N8MF/ref=zg_bs_g_automotive_d_sccl_2/262-8772563-5632265?psc=1","B08GS6N8MF","https://images-eu.ssl-images-amazon.com/images/I/51kJwMrbyJL._AC_UL600_SR600,400_.jpg"
"#3","Areon X Version Hanging Car Air Freshener Vanilla Black - NEW","SAR 4.51","3.8","https://www.amazon.sa//-/en/Areon-Version-Hanging-Freshener-Vanilla/dp/B08W54FCB3/ref=zg_bs_g_automotive_d_sccl_3/262-8772563-5632265?psc=1","B08W54FCB3","https://images-eu.ssl-images-amazon.com/images/I/51PVmj-0sDL._AC_UL600_SR600,400_.jpg"
"#4","Amazon Basics 3-Piece Premium Rubber Floor Mat for Cars, SUVs and Trucks, All Weather Protection, Universal Trim to Fit，Black","SAR 59.00","4.2","https://www.amazon.sa//-/en/Amazon-Basics-Protection-Universal-Fit%EF%BC%8CBlack/dp/B07TXB64W5/ref=zg_bs_g_automotive_d_sccl_4/262-8772563-5632265?psc=1","B07TXB64W5","https://images-eu.ssl-images-amazon.com/images/I/51c2a0xrUJL._AC_UL600_SR600,400_.jpg"
"#5","helloleiboo Car Windshield Sun Shade UV Rays and Heat Sun Visor Protector Foldable Reflector Umbrella brella Shield","SAR 13.95","3.4","https://www.amazon.sa//-/en/helloleiboo-Windshield-Protector-Foldable-Reflector/dp/B0892CLJNB/ref=zg_bs_g_automotive_d_sccl_5/262-8772563-5632265?psc=1","B0892CLJNB","https://images-eu.ssl-images-amazon.com/images/I/71qMjorYbHL._AC_UL600_SR600,400_.jpg"
"#6","Liqui Moly Injection Cleaner 300ml","SAR 39.75","4.4","https://www.amazon.sa//-/en/Liqui-Moly-Injection-Cleaner-300ml/dp/B001CZKC3M/ref=zg_bs_g_automotive_d_sccl_6/262-8772563-5632265?psc=1","B001CZKC3M","https://images-eu.ssl-images-amazon.com/images/I/81WPHfNx6WL._AC_UL600_SR600,400_.jpg"
"#7","Cleaning Gel for Car, Car Cleaning Kit Universal Detailing Automotive Dust Car Crevice Cleaner Auto Air Vent Interior Detail Removal Putty Cleaning Keyboard Cleaner for Car Vents, PC, Laptops, Cameras","SAR 11.30","3.8","https://www.amazon.sa//-/en/Cleaning-Car-Universal-Detailing-Automotive/dp/B081T7N948/ref=zg_bs_g_automotive_d_sccl_7/262-8772563-5632265?psc=1","B081T7N948","https://images-eu.ssl-images-amazon.com/images/I/71YLxhnPUxL._AC_UL600_SR600,400_.jpg"
"#8","SINGARO Car Cup Coaster, 4PCS Universal Non-Slip Cup Holders Embedded in Ornaments Coaster, Car Interior Accessories, Black","SAR 10.00","4.3","https://www.amazon.sa//-/en/SINGARO-Universal-Non-Slip-Ornaments-Accessories/dp/B09NCVS7V4/ref=zg_bs_g_automotive_d_sccl_8/262-8772563-5632265?psc=1","B09NCVS7V4","https://images-eu.ssl-images-amazon.com/images/I/61JsXQJttiL._AC_UL600_SR600,400_.jpg"
"#9","Tawa Car Jack 5 ton with Electric Impact Wrench, Car Tools Built-in Tire Inflatable Pump LED Light Safety Hammer, 12V 4 in 1 Car Tire Repair Tool Kits","SAR 308.89","4.1","https://www.amazon.sa//-/en/Electric-Impact-Wrench-Built-Inflatable/dp/B07YZ7HHP6/ref=zg_bs_g_automotive_d_sccl_9/262-8772563-5632265?psc=1","B07YZ7HHP6","https://images-eu.ssl-images-amazon.com/images/I/71WIWTeeDqL._AC_UL600_SR600,400_.jpg"
"#10","Scrub Daddy Scratch Free Sponge","SAR 29.00","4.7","https://www.amazon.sa//-/en/Scrub-Daddy-Scratch-Free-Sponge/dp/B00J420JEC/ref=zg_bs_g_automotive_d_sccl_10/262-8772563-5632265?psc=1","B00J420JEC","https://images-eu.ssl-images-amazon.com/images/I/71lWC50vu-L._AC_UL600_SR600,400_.jpg"
