"rank","title","price","rating","link","SKU","image_link"
"#1","Johnson's Pure Cotton Makeup Remover Pads 3-80 Pack Round Tablets, 100% Cotton","SAR 16.95","4.7","https://www.amazon.sa//-/en/Johnsons-Cotton-Makeup-Remover-Tablets/dp/B07N77NM82/ref=zg_bs_g_beauty_d_sccl_1/258-6986209-3655727?psc=1","B07N77NM82","https://images-eu.ssl-images-amazon.com/images/I/71-3x9odpCL._AC_UL600_SR600,400_.jpg"
"#2","Garnier SkinActive Micellar Cleansing Water Classic 400ml","SAR 15.95","4.7","https://www.amazon.sa//-/en/Garnier-SkinActive-Micellar-Cleansing-Classic/dp/B07BXZSCRL/ref=zg_bs_g_beauty_d_sccl_2/258-6986209-3655727?psc=1","B07BXZSCRL","https://images-eu.ssl-images-amazon.com/images/I/61TXenWNoQL._AC_UL600_SR600,400_.jpg"
"#3","VASELINE Moisturizing Petroleum Jelly, for dry skin, Original, to heal skin damage, 450ml","SAR 14.57","4.6","https://www.amazon.sa//-/en/VASELINE-Moisturizing-Petroleum-Original-damage/dp/B07NWYSPHY/ref=zg_bs_g_beauty_d_sccl_3/258-6986209-3655727?psc=1","B07NWYSPHY","https://images-eu.ssl-images-amazon.com/images/I/71am9YEelHL._AC_UL600_SR600,400_.jpg"
"#4","NIVEA Body Lotion Extra Dry Skin, Nourishing Almond Oil & Vitamin E, 3x400ml","SAR 29.98","4.5","https://www.amazon.sa//-/en/NIVEA-Lotion-Nourishing-Vitamin-3x400ml/dp/B0B3Y5BSJ5/ref=zg_bs_g_beauty_d_sccl_4/258-6986209-3655727?psc=1","B0B3Y5BSJ5","https://images-eu.ssl-images-amazon.com/images/I/814jiHkZ5oL._AC_UL600_SR600,400_.jpg"
"#5","Davidoff Cool Water for Men Eau de Toilette","SAR 69.00","4.0","https://www.amazon.sa//-/en/Davidoff-Cool-Water-Toilette-125ml/dp/B01F2LBFJ6/ref=zg_bs_g_beauty_d_sccl_5/258-6986209-3655727?psc=1","B01F2LBFJ6","https://images-eu.ssl-images-amazon.com/images/I/51AmJCSkOoL._AC_UL600_SR600,400_.jpg"
"#6","Johnson's Body Wash - Vita-Rich, Replenishing Raspberry 400ml","SAR 11.95","4.5","https://www.amazon.sa//-/en/Johnsons-Body-Wash-Vita-Rich-Replenishing/dp/B076F7C6SB/ref=zg_bs_g_beauty_d_sccl_6/258-6986209-3655727?psc=1","B076F7C6SB","https://images-eu.ssl-images-amazon.com/images/I/61AWZuKftQL._AC_UL600_SR600,400_.jpg"
"#7","NIVEA Creme Moisturising Cream, Universal All Pourpose Face Body Hands, Tin 400ml","SAR 11.99","4.5","https://www.amazon.sa//-/en/NIVEA-Creme-Moisturising-Universal-Pourpose/dp/B000SI95R8/ref=zg_bs_g_beauty_d_sccl_7/258-6986209-3655727?psc=1","B000SI95R8","https://images-eu.ssl-images-amazon.com/images/I/61Wra0FB8OL._AC_UL600_SR600,400_.jpg"
"#8","NIVEA Body Lotion Dry Skin, Cocoa Butter Vitamin E, 3x400ml","SAR 29.99","4.6","https://www.amazon.sa//-/en/NIVEA-Lotion-Butter-Vitamin-3x400ml/dp/B0BC8X45ST/ref=zg_bs_g_beauty_d_sccl_8/258-6986209-3655727?psc=1","B0BC8X45ST","https://images-eu.ssl-images-amazon.com/images/I/71oD9WuUt5L._AC_UL600_SR600,400_.jpg"
"#9","Cetaphil Moisturizing Cream 453 g","SAR 54.95","4.3","https://www.amazon.sa//-/en/Cetaphil-Moisturizing-Cream-453-g/dp/B09WJ7D9SP/ref=zg_bs_g_beauty_d_sccl_9/258-6986209-3655727?psc=1","B09WJ7D9SP","https://images-eu.ssl-images-amazon.com/images/I/51UAffDC9RL._AC_UL600_SR600,400_.jpg"
"#10","Neutrogena Hydro Boost Face Moisturizer Water Gel, 50ml (Packaging may vary)","SAR 19.99","4.3","https://www.amazon.sa//-/en/Neutrogena-Hydro-Boost-Moisturizer-Packaging/dp/B07MTX97N7/ref=zg_bs_g_beauty_d_sccl_10/258-6986209-3655727?psc=1","B07MTX97N7","https://images-eu.ssl-images-amazon.com/images/I/71F4euJMeiL._AC_UL600_SR600,400_.jpg"
