"rank","title","price","rating","link","SKU","image_link"
"#1","كتاب التحصيلي علمي 2024","SAR 85.00","4.5","https://www.amazon.sa//-/en/%D9%83%D8%AA%D8%A7%D8%A8-%D8%A7%D9%84%D8%AA%D8%AD%D8%B5%D9%8A%D9%84%D9%8A-%D8%B9%D9%84%D9%85%D9%8A-%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%B9%D8%B2%D9%8A%D8%B2-%D8%A7%D9%84%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%83%D8%B1%D9%8A%D9%85/dp/6030476580/ref=zg_bs_g_books_d_sccl_1/259-5995350-6676529?psc=1","6030476580","https://images-eu.ssl-images-amazon.com/images/I/71GarVofx2L._AC_UL600_SR600,400_.jpg"
"#2","My First Library : Boxset Of 10 Board Books For Kids","SAR 43.00","4.6","https://www.amazon.sa//-/en/My-First-Library-Boxset-Board/dp/9387779262/ref=zg_bs_g_books_d_sccl_2/259-5995350-6676529?psc=1","9387779262","https://images-eu.ssl-images-amazon.com/images/I/711c-uf6AFL._AC_UL600_SR600,400_.jpg"
"#3","‎المعاصر 8 استسيس كمي ورق محوسب شامل جميع الصغ والنماذج والمهارات الجديدة ‎","SAR 105.54","4.6","https://www.amazon.sa//-/en/%E2%80%8E%D8%A7%D9%84%D9%85%D8%B9%D8%A7%D8%B5%D8%B1-%D8%A7%D8%B3%D8%AA%D8%B3%D9%8A%D8%B3-%D9%88%D8%A7%D9%84%D9%86%D9%85%D8%A7%D8%B0%D8%AC-%D9%88%D8%A7%D9%84%D9%85%D9%87%D8%A7%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9/dp/6030317059/ref=zg_bs_g_books_d_sccl_3/259-5995350-6676529?psc=1","6030317059","https://images-eu.ssl-images-amazon.com/images/I/613vXjgx4XL._AC_UL600_SR600,400_.jpg"
"#4","First 100 Words: A Padded Board Book","SAR 17.00","4.7","https://www.amazon.sa//-/en/First-100-Words-Padded-Board/dp/0312510780/ref=zg_bs_g_books_d_sccl_4/259-5995350-6676529?psc=1","0312510780","https://images-eu.ssl-images-amazon.com/images/I/71aMpgf078L._AC_UL600_SR600,400_.jpg"
"#5","I Can Do It!","SAR 9.00","4.6","https://www.amazon.sa//-/en/I-Can-Do-Trish-Holland/dp/044981310X/ref=zg_bs_g_books_d_sccl_5/259-5995350-6676529?psc=1","044981310X","https://images-eu.ssl-images-amazon.com/images/I/71bpX2+givL._AC_UL600_SR600,400_.jpg"
"#6","عقدك النفسية سجنك الابدي","SAR 49.40","4.4","https://www.amazon.sa//-/en/%D8%B9%D9%82%D8%AF%D9%83-%D8%A7%D9%84%D9%86%D9%81%D8%B3%D9%8A%D8%A9-%D8%B3%D8%AC%D9%86%D9%83-%D8%A7%D9%84%D8%A7%D8%A8%D8%AF%D9%8A-%D8%A7%D9%84%D8%AD%D8%B3%D9%86%D9%8A/dp/9778591660/ref=zg_bs_g_books_d_sccl_6/259-5995350-6676529?psc=1","9778591660","https://images-eu.ssl-images-amazon.com/images/I/61dISTogxAL._AC_UL600_SR600,400_.jpg"
"#7","The 48 Laws of Power by Robert Greene - Paperback","SAR 71.00","4.7","https://www.amazon.sa//-/en/Laws-Power-Robert-Greene-Paperback/dp/0140280197/ref=zg_bs_g_books_d_sccl_7/259-5995350-6676529?psc=1","0140280197","https://images-eu.ssl-images-amazon.com/images/I/611X8GI7hpL._AC_UL600_SR600,400_.jpg"
"#8","Atomic Habits: An Easy & Proven Way To Build Good Habits And Break Bad Ones","SAR 45.00","4.8","https://www.amazon.sa//-/en/Atomic-Habits-Proven-Build-Break/dp/0593189647/ref=zg_bs_g_books_d_sccl_8/259-5995350-6676529?psc=1","0593189647","https://images-eu.ssl-images-amazon.com/images/I/61rOus07jlL._AC_UL600_SR600,400_.jpg"
"#9","It Ends With Us: The emotional #1 Sunday Times bestseller","SAR 28.00","4.7","https://www.amazon.sa//-/en/Ends-Us-emotional-Sunday-bestseller/dp/1471156265/ref=zg_bs_g_books_d_sccl_9/259-5995350-6676529?psc=1","1471156265","https://images-eu.ssl-images-amazon.com/images/I/817vqET828L._AC_UL600_SR600,400_.jpg"
"#10","No Hitting!","SAR 21.00","4.3","https://www.amazon.sa//-/en/No-Hitting-Karen-Katz/dp/044845596X/ref=zg_bs_g_books_d_sccl_10/259-5995350-6676529?psc=1","044845596X","https://images-eu.ssl-images-amazon.com/images/I/71UvyNwcMDL._AC_UL600_SR600,400_.jpg"
