"rank","title","price","rating","link","SKU","image_link"
"#1","SCIENISH Led String Lights Stars Shaped And Moon Curtain Decorative Lights Holiday Decoration Ramadan Gift","SAR 35.00","4.0","https://www.amazon.sa//-/en/SCIENISH-Curtain-Decorative-Holiday-Decoration/dp/B081VKNT67/ref=zg_bs_g_home-improvement_d_sccl_1/260-1473497-0227201?psc=1","B081VKNT67","https://images-eu.ssl-images-amazon.com/images/I/61ObSuQoKXL._AC_UL600_SR600,400_.jpg"
"#2","Ramadan Decorations Light, Eid Moon String Lights Moon, Mini Star Fairy Lights Lantern Lamp for Wedding Party Home Garden Bedroom Indoor, Décor Gift for Ramadan, Mother's Day, Christmas Gifts","SAR 34.00","4.7","https://www.amazon.sa//-/en/Ramadan-Decorations-Lantern-Wedding-Christmas/dp/B0BRSB8BT9/ref=zg_bs_g_home-improvement_d_sccl_2/260-1473497-0227201?psc=1","B0BRSB8BT9","https://images-eu.ssl-images-amazon.com/images/I/61x9YBW+yLL._AC_UL600_SR600,400_.jpg"
"#3","Optitect Disposable Vinyl Gloves,Powder Free, Non Sterile,Latex Free Rubber,100 Count,Food Safe","SAR 18.75","4.2","https://www.amazon.sa//-/en/Optitect-Disposable-Gloves-Available-Sterile/dp/B091NTHL7R/ref=zg_bs_g_home-improvement_d_sccl_3/260-1473497-0227201?psc=1","B091NTHL7R","https://images-eu.ssl-images-amazon.com/images/I/51ui9lDsp8L._AC_UL600_SR600,400_.jpg"
"#4","Shadowhawk Flashlight Led 10000 lumen, Torch Led Rechargeable high lumen XHP70.2, Tactical Flashlights Battery Powered IP67 Waterproof Zoomable, for Camping Hiking Emergency(with Battery)","SAR 63.99","4.3","https://www.amazon.sa//-/en/Shadowhawk-Flashlight-Rechargeable-Flashlights-Waterproof/dp/B0B5696V8Z/ref=zg_bs_g_home-improvement_d_sccl_4/260-1473497-0227201?psc=1","B0B5696V8Z","https://images-eu.ssl-images-amazon.com/images/I/81Fng8vjexL._AC_UL600_SR600,400_.jpg"
"#5","M&M care Heavy Duty Powder-free Disposable Vinyl Gloves (100-Count, L)","SAR 18.90","4.4","https://www.amazon.sa//-/en/care-Powder-free-Disposable-Gloves-100-Count/dp/B095XS2W37/ref=zg_bs_g_home-improvement_d_sccl_5/260-1473497-0227201?psc=1","B095XS2W37","https://images-eu.ssl-images-amazon.com/images/I/61FhZagrWaL._AC_UL600_SR600,400_.jpg"
"#6","BOSCH - X-Line Drill Line Set, 33 pieces, Ideally equipped to handle virtually any task: Versatile DIY enthusiast set for drilling in wood, masonry and metal","SAR 31.99","4.4","https://www.amazon.sa//-/en/BOSCH-equipped-virtually-Versatile-enthusiast/dp/B000P4IQAC/ref=zg_bs_g_home-improvement_d_sccl_6/260-1473497-0227201?psc=1","B000P4IQAC","https://images-eu.ssl-images-amazon.com/images/I/81Mgs8sAQ5L._AC_UL600_SR600,400_.jpg"
"#7","Smart WiFi Plug, 6 Pack 16A Smart Outlet Plug Socket Compatible with Alexa and Google Home, Mini Socket with Remote Control & Voice Contr","SAR 80.00","4.6","https://www.amazon.sa//-/en/Outlet-Socket-Compatible-Google-Control/dp/B08PP56799/ref=zg_bs_g_home-improvement_d_sccl_7/260-1473497-0227201?psc=1","B08PP56799","https://images-eu.ssl-images-amazon.com/images/I/51VRtVrhe3L._AC_UL600_SR600,400_.jpg"
"#8","Gluckluz 2M LED Strip Light TV Bias Backlight Kit for HDTV Desktop PC Fish Tank Decorations, Waterproof RGB Monitor Lighting with Remote Control, USB Powered, multi color","SAR 17.80","3.4","https://www.amazon.sa//-/en/Gluckluz-Backlight-Decorations-Waterproof-Lighting/dp/B07NDXSY4G/ref=zg_bs_g_home-improvement_d_sccl_8/260-1473497-0227201?psc=1","B07NDXSY4G","https://images-eu.ssl-images-amazon.com/images/I/61o7vcgG3zL._AC_UL600_SR600,400_.jpg"
"#9","48V Cordless Drill Set, Electric Drill with 2 Batteries and Charger, Electric Screwdriver Power Drill Drivers with 2 Speed, 25 Torque Setting, Built-in LED Light,Storage Case Included","SAR 150.97","3.7","https://www.amazon.sa//-/en/Cordless-Electric-Batteries-Screwdriver-Included/dp/B0BN3WMYNN/ref=zg_bs_g_home-improvement_d_sccl_9/260-1473497-0227201?psc=1","B0BN3WMYNN","https://images-eu.ssl-images-amazon.com/images/I/71CKfGdQUfL._AC_UL600_SR600,400_.jpg"
"#10","Scotch Mount Extreme Strong Tape 1 in x 60 in roll (25.4mm x 1.52m) 414H | Holds 13.6kg whole role | Black color | maximum strength| indoor Outdoor | No Tools| Double Sided Adhesive Tape | 1 roll/pack","SAR 18.99","4.4","https://www.amazon.sa//-/en/Scotch-Extreme-maximum-strength-Adhesive/dp/B005SRECEU/ref=zg_bs_g_home-improvement_d_sccl_10/260-1473497-0227201?psc=1","B005SRECEU","https://images-eu.ssl-images-amazon.com/images/I/81B7s-7r48L._AC_UL600_SR600,400_.jpg"
