"rank","title","price","rating","link","SKU","image_link"
"#1","Apple 20W USB-C Power Adapter","SAR 79.00","4.7","https://www.amazon.sa//-/en/Apple-20W-USB-C-Power-Adapter/dp/B08L85KDV5/ref=zg_bs_g_electronics_d_sccl_1/262-0166267-2854325?psc=1","B08L85KDV5","https://images-eu.ssl-images-amazon.com/images/I/61TbaDn9AgS._AC_UL600_SR600,400_.jpg"
"#2","Duracell - AA 1.5V Alkaline LR06 / MN1500 Batteries Long Lasting Power - Pack Of 20-10 Years Shelf Life","SAR 39.00","4.7","https://www.amazon.sa//-/en/Duracell-Alkaline-MN1500-Batteries-Lasting/dp/B09HXG3J7P/ref=zg_bs_g_electronics_d_sccl_2/262-0166267-2854325?psc=1","B09HXG3J7P","https://images-eu.ssl-images-amazon.com/images/I/81C07h8E1GL._AC_UL600_SR600,400_.jpg"
"#3","Apple EarPods with Lightning Connector, White","SAR 69.00","4.5","https://www.amazon.sa//-/en/Apple-EarPods-Lightning-Connector-White/dp/B08VDSXKV3/ref=zg_bs_g_electronics_d_sccl_3/262-0166267-2854325?psc=1","B08VDSXKV3","https://images-eu.ssl-images-amazon.com/images/I/41Y2dfI6K1L._AC_UL600_SR600,400_.jpg"
"#4","Anker Soundcore Life Q30 Hybrid Active Noise Cancelling Headphones Bluetooth with Multiple Modes, Hi-Res Sound Bluetooth Headphones, Custom EQ via App, 40H Playtime, Multipoint Connection","SAR 179.00","4.4","https://www.amazon.sa//-/en/Soundcore-Cancelling-Headphones-Multipoint-Connection/dp/B08HMWZBXC/ref=zg_bs_g_electronics_d_sccl_4/262-0166267-2854325?psc=1","B08HMWZBXC","https://images-eu.ssl-images-amazon.com/images/I/61l8-Y6+9IL._AC_UL600_SR600,400_.jpg"
"#5","Duracell - AAA 1.5V Alkaline LR03 / MN2400 Batteries Long Lasting Power - Pack of 20-10 Years Shelf Life","SAR 39.00","4.7","https://www.amazon.sa//-/en/Duracell-Alkaline-MN2400-Batteries-Lasting/dp/B09HXDMBTC/ref=zg_bs_g_electronics_d_sccl_5/262-0166267-2854325?psc=1","B09HXDMBTC","https://images-eu.ssl-images-amazon.com/images/I/71N8oGWk+PL._AC_UL600_SR600,400_.jpg"
"#6","EZVIZ C6N Security Camera, 1080p WiFi Indoor Home Camera, Baby Monitor Surveillance Camera with Motion Detection, Smart Tracking, Two Way Audio, Night Vision, Remote Control, Works with Alexa","SAR 85.00","4.4","https://www.amazon.sa//-/en/EZVIZ-Security-Surveillance-Detection-Tracking/dp/B0867X1QGP/ref=zg_bs_g_electronics_d_sccl_6/262-0166267-2854325?psc=1","B0867X1QGP","https://images-eu.ssl-images-amazon.com/images/I/51CiNdFD0FL._AC_UL600_SR600,400_.jpg"
"#7","Sandisk Ultra Microsdxc 128Gb 100Mb/S Class 10 Uhs-I","SAR 38.00","4.6","https://www.amazon.sa//-/en/Sandisk-Ultra-Microsdxc-128Gb-100Mb/dp/B08HYFLMFJ/ref=zg_bs_g_electronics_d_sccl_7/262-0166267-2854325?psc=1","B08HYFLMFJ","https://images-eu.ssl-images-amazon.com/images/I/51B00IVUMIL._AC_UL600_SR600,400_.jpg"
"#8","Apple USB-C to Lightning Cable (1m)","Price N/A","4.6","https://www.amazon.sa//-/en/Apple-USB-C-Lightning-Cable-1m/dp/B09JRG6GLX/ref=zg_bs_g_electronics_d_sccl_8/262-0166267-2854325?psc=1","B09JRG6GLX","https://images-eu.ssl-images-amazon.com/images/I/61QHx7l9ukL._AC_UL600_SR600,400_.jpg"
"#9","SAMSUNG Galaxy S23 Ultra, 256GB, Phantom Black, KSA Version, 5G Mobile Phone, Dual SIM, Android Smartphone","SAR 3,169.00","4.5","https://www.amazon.sa//-/en/SAMSUNG-Phantom-Version-Android-Smartphone/dp/B0BSLBMCB2/ref=zg_bs_g_electronics_d_sccl_9/262-0166267-2854325?psc=1","B0BSLBMCB2","https://images-eu.ssl-images-amazon.com/images/I/71q+njLKksL._AC_UL600_SR600,400_.jpg"
"#10","Amazon Basics 48 Pack AA High-Performance Alkaline Batteries, 10-Year Shelf Life, Easy to Open Value Pack","SAR 49.00","4.5","https://www.amazon.sa//-/en/Amazon-Basics-AA-High-Performance-Batteries/dp/B00MNV8E0C/ref=zg_bs_g_electronics_d_sccl_10/262-0166267-2854325?psc=1","B00MNV8E0C","https://images-eu.ssl-images-amazon.com/images/I/817EyM89DtL._AC_UL600_SR600,400_.jpg"
