"rank","title","price","rating","link","SKU","image_link"
"#1","adidas Men's Galaxy 6 M Trainers","SAR 279.00","4.1","https://www.amazon.sa//-/en/adidas-Galaxy-Running-Shoes-Color/dp/B09N3LQ5XS/ref=zg_bs_g_fashion_d_sccl_1/257-3551394-3339939?psc=1","B09N3LQ5XS","https://images-eu.ssl-images-amazon.com/images/I/61RRT1-uLRL._AC_UL600_SR600,400_.jpg"
"#2","ULTECHNOVO Digital Hanging Luggage Scale Portable Handheld Baggage Scale for Travel Suitcase Scale for Traveling with LCD Display 50kg/110lb","SAR 16.80","4.0","https://www.amazon.sa//-/en/ULTECHNOVO-Portable-Handheld-Suitcase-Traveling/dp/B07XCM3X1F/ref=zg_bs_g_fashion_d_sccl_2/257-3551394-3339939?psc=1","B07XCM3X1F","https://images-eu.ssl-images-amazon.com/images/I/51CmGQ5N4pL._AC_UL600_SR600,400_.jpg"
"#3","Jack & Jones Men's JACOLIVER TRUNKS 5 PACK Trunks","SAR 83.28","4.3","https://www.amazon.sa//-/en/Jack-Jones-Jacoliver-Trunks-Color/dp/B083Y89YDS/ref=zg_bs_g_fashion_d_sccl_3/257-3551394-3339939?psc=1","B083Y89YDS","https://images-eu.ssl-images-amazon.com/images/I/71LmKAu2sjL._AC_UL600_SR600,400_.jpg"
"#4","Jack & Jones Socks Socks (Pack Of 10) Men's","SAR 44.00","4.2","https://www.amazon.sa//-/en/Jack-Jones-Mens-Socks-Black/dp/B085DXJVN4/ref=zg_bs_g_fashion_d_sccl_4/257-3551394-3339939?psc=1","B085DXJVN4","https://images-eu.ssl-images-amazon.com/images/I/71CdMOgMYmL._AC_UL600_SR600,400_.jpg"
"#5","Duracell lithium coin 3 v ,2 pieces ( 2032 )child resistant packing","SAR 10.00","4.6","https://www.amazon.sa//-/en/Duracell-lithium-pieces-resistant-packing/dp/B00724OANK/ref=zg_bs_g_fashion_d_sccl_5/257-3551394-3339939?psc=1","B00724OANK","https://images-eu.ssl-images-amazon.com/images/I/61jTAuZxjAL._AC_UL600_SR600,400_.jpg"
"#6","Senator Hardside Carry on Luggage 20 Inches Small Suitcase on Wheels for Unisex | Ultra Lightweight cabin size luggage Carry on with Spinner Wheels 4 (Carry-On 20-Inch, Black)","SAR 99.00","4.0","https://www.amazon.sa//-/en/Senator-Hardside-Luggage-Suitcase-Lightweight/dp/B08BFPT734/ref=zg_bs_g_fashion_d_sccl_6/257-3551394-3339939?psc=1","B08BFPT734","https://images-eu.ssl-images-amazon.com/images/I/61fAp8GY4NL._AC_UL600_SR600,400_.jpg"
"#7","Tommy Hilfiger DENIM Men's Watch, Analog","SAR 299.00","4.5","https://www.amazon.sa//-/en/Tommy-Hilfiger-Black-Silicone-Watch/dp/B08X4HJPWJ/ref=zg_bs_g_fashion_d_sccl_7/257-3551394-3339939?psc=1","B08X4HJPWJ","https://images-eu.ssl-images-amazon.com/images/I/61UiFbxqZES._AC_UL600_SR600,400_.jpg"
"#8","WildHorn® RFID Protected Genuine Leather Wallet for Men's","SAR 19.00","3.8","https://www.amazon.sa//-/en/Wildhorn-India-Black-Wallet-Wh1173/dp/B07TDH6MJV/ref=zg_bs_g_fashion_d_sccl_8/257-3551394-3339939?psc=1","B07TDH6MJV","https://images-eu.ssl-images-amazon.com/images/I/71tTu7YTM-L._AC_UL600_SR600,400_.jpg"
"#9","Jack & Jones Stellar mens Sneakers","Price N/A","4.1","https://www.amazon.sa//-/en/Jack-Jones-Stellar-Sneakers-Color/dp/B07ZZMK9RM/ref=zg_bs_g_fashion_d_sccl_9/257-3551394-3339939?psc=1","B07ZZMK9RM","https://images-eu.ssl-images-amazon.com/images/I/61bmPMNyrmL._AC_UL600_SR600,400_.jpg"
"#10","Tommy Hilfiger Mens Thin Sleek Casual Bifold Wallet with 6 Credit Card Pockets and Removable Id Window Wallet","SAR 78.95","4.6","https://www.amazon.sa//-/en/Tommy-Hilfiger-Casual-Pockets-Removable/dp/B00422MCW6/ref=zg_bs_g_fashion_d_sccl_10/257-3551394-3339939?psc=1","B00422MCW6","https://images-eu.ssl-images-amazon.com/images/I/81qht9lFG8L._AC_UL600_SR600,400_.jpg"
