"rank","title","price","rating","link","SKU","image_link"
"#1","Amazon.sa eGift Card","SAR 100.00","4.7","https://www.amazon.sa//-/en/Amazon-307_SA_Email-Amazon-sa-eGift-Card/dp/B086BJG2MZ/ref=zg_bs_g_gift-cards_d_sccl_1/261-7599502-8052943?psc=1","B086BJG2MZ","https://images-eu.ssl-images-amazon.com/images/I/51p5qPVOM4L._AC_UL600_SR600,400_.jpg"
"#2","Amazon.sa eGift Card","SAR 150.00","4.7","https://www.amazon.sa//-/en/Amazon-sa-eGift-Card-Ramadan-Mosque/dp/B0C1NRYZ8J/ref=zg_bs_g_gift-cards_d_sccl_2/261-7599502-8052943?psc=1","B0C1NRYZ8J","https://images-eu.ssl-images-amazon.com/images/I/71Q7rP7a80L._AC_UL600_SR600,400_.jpg"
"#3","Amazon.sa eGift Card","SAR 150.00","4.7","https://www.amazon.sa//-/en/Amazon-sa-eGift-Card-Teddy-thanks/dp/B0CPPSJGMP/ref=zg_bs_g_gift-cards_d_sccl_3/261-7599502-8052943?psc=1","B0CPPSJGMP","https://images-eu.ssl-images-amazon.com/images/I/61UMUEQL98L._AC_UL600_SR600,400_.jpg"
"#4","Amazon.sa eGift Card","SAR 150.00","4.7","https://www.amazon.sa//-/en/Amazon-sa-eGift-Card-hard-work/dp/B0CPPR637B/ref=zg_bs_g_gift-cards_d_sccl_4/261-7599502-8052943?psc=1","B0CPPR637B","https://images-eu.ssl-images-amazon.com/images/I/71LeAkm4SnL._AC_UL600_SR600,400_.jpg"
"#5","Amazon.sa eGift Card","SAR 150.00","4.7","https://www.amazon.sa//-/en/Amazon-sa-eGift-Card-Thanks-garden/dp/B0CPPQR3DV/ref=zg_bs_g_gift-cards_d_sccl_5/261-7599502-8052943?psc=1","B0CPPQR3DV","https://images-eu.ssl-images-amazon.com/images/I/614qM0QzecL._AC_UL600_SR600,400_.jpg"
"#6","Amazon.sa eGift Card","SAR 150.00","4.7","https://www.amazon.sa//-/en/Amazon-sa-eGift-Card-Thinking-you/dp/B0CPPT2TNY/ref=zg_bs_g_gift-cards_d_sccl_6/261-7599502-8052943?psc=1","B0CPPT2TNY","https://images-eu.ssl-images-amazon.com/images/I/61aqXA051qL._AC_UL600_SR600,400_.jpg"
"#7","Amazon.sa eGift Card","SAR 150.00","4.7","https://www.amazon.sa//-/en/Amazon-sa-eGift-Card-Thx-all/dp/B0CPPS8ZXH/ref=zg_bs_g_gift-cards_d_sccl_7/261-7599502-8052943?psc=1","B0CPPS8ZXH","https://images-eu.ssl-images-amazon.com/images/I/61d+aemQLQL._AC_UL600_SR600,400_.jpg"
"#8","Amazon.sa eGift Card","SAR 150.00","4.7","https://www.amazon.sa//-/en/Amazon-sa-eGift-Card-great-year/dp/B0CPPSJ8QR/ref=zg_bs_g_gift-cards_d_sccl_8/261-7599502-8052943?psc=1","B0CPPSJ8QR","https://images-eu.ssl-images-amazon.com/images/I/61EuG14-mUL._AC_UL600_SR600,400_.jpg"
"#9","Amazon.sa eGift Card","SAR 150.00","4.7","https://www.amazon.sa//-/en/Amazon-sa-eGift-Card-flying-animals/dp/B0CBPXXQLK/ref=zg_bs_g_gift-cards_d_sccl_9/261-7599502-8052943?psc=1","B0CBPXXQLK","https://images-eu.ssl-images-amazon.com/images/I/61032Xg+I0L._AC_UL600_SR600,400_.jpg"
"#10","Amazon.sa eGift Card","SAR 150.00","4.7","https://www.amazon.sa//-/en/Amazon-sa-eGift-Card-Thanks-garden/dp/B0CPPTB5N9/ref=zg_bs_g_gift-cards_d_sccl_10/261-7599502-8052943?psc=1","B0CPPTB5N9","https://images-eu.ssl-images-amazon.com/images/I/61ThjBpNMaL._AC_UL600_SR600,400_.jpg"
