"rank","title","price","rating","link","SKU","image_link"
"#1","Tang orange flavoured juice, 2 kg","SAR 39.95","4.5","https://www.amazon.sa//-/en/Tang-21464201031-orange-flavoured-juice/dp/B086DW4KT8/ref=zg_bs_g_grocery_d_sccl_1/259-0546858-3618953?psc=1","B086DW4KT8","https://images-eu.ssl-images-amazon.com/images/I/61gQSoqDU0L._AC_UL600_SR600,400_.jpg"
"#2","VIMTO FRUIT CORDIAL 710 ML - Pack of 1","SAR 12.95","4.6","https://www.amazon.sa//-/en/VIMTO-FRUIT-CORDIAL-710-ML/dp/B003R60PHC/ref=zg_bs_g_grocery_d_sccl_2/259-0546858-3618953?psc=1","B003R60PHC","https://images-eu.ssl-images-amazon.com/images/I/71qBiG4atsL._AC_UL600_SR600,400_.jpg"
"#3","Abu Kass Indian Mazza Basmati Rice 10 kg","SAR 59.95","4.5","https://www.amazon.sa//-/en/Abu-Kass-Indian-Mazza-Basmati/dp/B08L1ZXBPS/ref=zg_bs_g_grocery_d_sccl_3/259-0546858-3618953?psc=1","B08L1ZXBPS","https://images-eu.ssl-images-amazon.com/images/I/71KjwIXQ3AL._AC_UL600_SR600,400_.jpg"
"#4","Anchor Full Cream Milk Powder Pouch, 2.25 Kg","SAR 56.94","4.6","https://www.amazon.sa//-/en/Anchor-Full-Cream-Powder-Pouch/dp/B07GBFGN2F/ref=zg_bs_g_grocery_d_sccl_4/259-0546858-3618953?psc=1","B07GBFGN2F","https://images-eu.ssl-images-amazon.com/images/I/71vO2RYy3mL._AC_UL600_SR600,400_.jpg"
"#5","Rabea Express 100 Tea Bags","SAR 8.97","4.6","https://www.amazon.sa//-/en/Rabea-Express-100-Tea-Bags/dp/B00HQ2L97I/ref=zg_bs_g_grocery_d_sccl_5/259-0546858-3618953?psc=1","B00HQ2L97I","https://images-eu.ssl-images-amazon.com/images/I/616C56fdPeL._AC_UL600_SR600,400_.jpg"
"#6","Nestle Pure Life Bottled Still Drinking Water - 40 X 330 Ml","SAR 14.95","4.6","https://www.amazon.sa//-/en/Nestle-Pure-Life-Bottled-Drinking/dp/B09NL1K3CY/ref=zg_bs_g_grocery_d_sccl_6/259-0546858-3618953?psc=1","B09NL1K3CY","https://images-eu.ssl-images-amazon.com/images/I/81trl8uvYaS._AC_UL600_SR600,400_.jpg"
"#7","Suntop Orange Drink Juice 18X125Ml","SAR 13.77","4.6","https://www.amazon.sa//-/en/Suntop-Orange-Drink-Juice-18X125Ml/dp/B084MLZ1YS/ref=zg_bs_g_grocery_d_sccl_7/259-0546858-3618953?psc=1","B084MLZ1YS","https://images-eu.ssl-images-amazon.com/images/I/91VaObesYXL._AC_UL600_SR600,400_.jpg"
"#8","Nadec Full Fat Uht Milk, 18 X 125 Ml","SAR 14.88","4.7","https://www.amazon.sa//-/en/Nadec-Full-Fat-Uht-Milk/dp/B098RKQQZD/ref=zg_bs_g_grocery_d_sccl_8/259-0546858-3618953?psc=1","B098RKQQZD","https://images-eu.ssl-images-amazon.com/images/I/71AXvzSr4oL._AC_UL600_SR600,400_.jpg"
"#9","Berain Water Bottle - Size 12×1.5 Liters","SAR 12.33","4.6","https://www.amazon.sa//-/en/Berain-Water-Bottle-12%C3%971-5-Liters/dp/B08B9Z631S/ref=zg_bs_g_grocery_d_sccl_9/259-0546858-3618953?psc=1","B08B9Z631S","https://images-eu.ssl-images-amazon.com/images/I/51sjBo6lMSL._AC_UL600_SR600,400_.jpg"
"#10","Al Shalan Punjabi Super Rice - White Basmati Rice 10Kg","SAR 68.21","4.7","https://www.amazon.sa//-/en/Al-Shalan-Punjabi-Super-Rice/dp/B09VNQKJG4/ref=zg_bs_g_grocery_d_sccl_10/259-0546858-3618953?psc=1","B09VNQKJG4","https://images-eu.ssl-images-amazon.com/images/I/61moMhzPsvL._AC_UL600_SR600,400_.jpg"
"#11","Nadec Organic Extra Virgin Olive Oil, 250 Ml","Price N/A","4.7","https://www.amazon.sa//-/en/Nadec-Organic-Extra-Virgin-Olive/dp/B08DSB3ZN1/ref=zg_bs_g_grocery_d_sccl_11/259-0546858-3618953?psc=1","B08DSB3ZN1","https://images-eu.ssl-images-amazon.com/images/I/713Rwbln4iL._AC_UL600_SR600,400_.jpg"
"#12","Saudia Tomato Paste , 8X135 Gm (Packaging may vary)","SAR 12.60","4.6","https://www.amazon.sa//-/en/Saudia-Tomato-Paste-8X135-Packaging/dp/B083B1SMJT/ref=zg_bs_g_grocery_d_sccl_12/259-0546858-3618953?psc=1","B083B1SMJT","https://images-eu.ssl-images-amazon.com/images/I/81-Xa5Uuc5L._AC_UL600_SR600,400_.jpg"
