"rank","title","price","rating","link","SKU","image_link"
"#1","Clorox Liquid Bleach 3.78 Litres, Kills 99.9% of Viruses and Bacteria, Inhibits Bacteria Growth for 48 Hours, Removes Stains","SAR 14.95","4.7","https://www.amazon.sa//-/en/Clorox-Viruses-Bacteria-Inhibits-Removes/dp/B07G975H51/ref=zg_bs_g_health_d_sccl_1/258-4562754-5173959?psc=1","B07G975H51","https://images-eu.ssl-images-amazon.com/images/I/61c6OmFMQ5L._AC_UL600_SR600,400_.jpg"
"#2","Dettol Antiseptic Antibacterial Disinfectant Liquid for Effective Germ Protection & Personal Hygiene, Used in Floor Cleaning, Bathing and Laundry, 2L","SAR 29.65","4.7","https://www.amazon.sa//-/en/Dettol-Antiseptic-Antibacterial-Disinfectant-Protection/dp/B08ZTKQ9HQ/ref=zg_bs_g_health_d_sccl_2/258-4562754-5173959?psc=1","B08ZTKQ9HQ","https://images-eu.ssl-images-amazon.com/images/I/61TSqR7bNML._AC_UL600_SR600,400_.jpg"
"#3","Fine Fluffy Facial Tissues 50 Boxes of 2 Ply x 130 Sheets , Fine Fluffy tissue with Real Cotton Feel, good for All Skin Types and Sterilized for Germ Protection","SAR 79.95","4.6","https://www.amazon.sa//-/en/Fine-Fluffy-Tissues-Sterilized-Protection/dp/B07NF7Y2CB/ref=zg_bs_g_health_d_sccl_3/258-4562754-5173959?psc=1","B07NF7Y2CB","https://images-eu.ssl-images-amazon.com/images/I/81DkI1K2xUL._AC_UL600_SR600,400_.jpg"
"#4","Fairy Plus Lemon Dishwashing Liquid Soap with alternative power to bleach, 2x800 ml","Price N/A","4.7","https://www.amazon.sa//-/en/Fairy-Dishwashing-Liquid-alternative-bleach/dp/B0976ZG4KV/ref=zg_bs_g_health_d_sccl_4/258-4562754-5173959?psc=1","B0976ZG4KV","https://images-eu.ssl-images-amazon.com/images/I/71m7TUScRCL._AC_UL600_SR600,400_.jpg"
"#5","Hala Facial Tissue 2 Ply 1600 sheets","SAR 69.50","4.5","https://www.amazon.sa//-/en/Hala-Facial-Tissue-1600-sheets/dp/B07PN2PW1S/ref=zg_bs_g_health_d_sccl_5/258-4562754-5173959?psc=1","B07PN2PW1S","https://images-eu.ssl-images-amazon.com/images/I/61uJ9ojy02L._AC_UL600_SR600,400_.jpg"
"#6","COMFORT Fabric Softener, Spring Dew, for fresh & soft clothes, 3L","SAR 16.95","4.5","https://www.amazon.sa//-/en/COMFORT-Fabric-Softener-Spring-clothes/dp/B07P6YJFHS/ref=zg_bs_g_health_d_sccl_6/258-4562754-5173959?psc=1","B07P6YJFHS","https://images-eu.ssl-images-amazon.com/images/I/71bgnYR9MwL._AC_UL600_SR600,400_.jpg"
"#7","COMFORT Fabric Softener, Spring Dew, for fresh & soft clothes, 4L","SAR 20.00","4.7","https://www.amazon.sa//-/en/COMFORT-Fabric-Softener-Spring-clothes/dp/B07PKCVL8F/ref=zg_bs_g_health_d_sccl_7/258-4562754-5173959?psc=1","B07PKCVL8F","https://images-eu.ssl-images-amazon.com/images/I/71cHWL9tjxL._AC_UL600_SR600,400_.jpg"
"#8","Fine Sterilized Kitchen Towel Mega Roll, 1000 Sheets - Pack of 1 Big kitchen tissue roll, Highly absorbent and sterilized paper towel","SAR 12.95","4.4","https://www.amazon.sa//-/en/Fine-Sterilized-Kitchen-Towel-Sheets/dp/B097JWVMJT/ref=zg_bs_g_health_d_sccl_8/258-4562754-5173959?psc=1","B097JWVMJT","https://images-eu.ssl-images-amazon.com/images/I/71IOk0Lh3MS._AC_UL600_SR600,400_.jpg"
"#9","Vanish Laundry Stain Remover Liquid for White & Colored Clothes, Can Be Used With and Without Detergents, Additives & Fabric Softeners, Ideal for Use in the Washing Machine,1.8 L and 500 ml, Pack of 2","SAR 19.95","4.7","https://www.amazon.sa//-/en/Vanish-Laundry-Detergents-Additives-Softeners/dp/B08Y9LJDTB/ref=zg_bs_g_health_d_sccl_9/258-4562754-5173959?psc=1","B08Y9LJDTB","https://images-eu.ssl-images-amazon.com/images/I/71RNzPSCufL._AC_UL600_SR600,400_.jpg"
"#10","Sanita Club Garbage Bags 50 Gallons 45 Bags","SAR 13.95","4.4","https://www.amazon.sa//-/en/Sanita-Club-Garbage-Bags-Gallons/dp/B07NF91WSW/ref=zg_bs_g_health_d_sccl_10/258-4562754-5173959?psc=1","B07NF91WSW","https://images-eu.ssl-images-amazon.com/images/I/71f86qKw6ML._AC_UL600_SR600,400_.jpg"
"#11","Kleenex Ultra Strong Facial Tissue, 2 PLY, 10 Soft Packs x 130 Sheets, Strong Multi Purpose Tissue","SAR 15.95","4.6","https://www.amazon.sa//-/en/Kleenex-Strong-Facial-Tissue-Purpose/dp/B0882QLRT2/ref=zg_bs_g_health_d_sccl_11/258-4562754-5173959?psc=1","B0882QLRT2","https://images-eu.ssl-images-amazon.com/images/I/71CxNUqOrRL._AC_UL600_SR600,400_.jpg"
"#12","Al Emlaq Super Pine Oil Gel 2Kg","SAR 18.95","4.6","https://www.amazon.sa//-/en/Al-Emlaq-Super-Pine-Oil/dp/B083B1GL1J/ref=zg_bs_g_health_d_sccl_12/258-4562754-5173959?psc=1","B083B1GL1J","https://images-eu.ssl-images-amazon.com/images/I/61dhD-+cKpL._AC_UL600_SR600,400_.jpg"
"#13","Ariel Automatic Downy Laundry Detergent Liquid Gel, Number 1 in Stain Removal with 48 Hours of Freshness, 1.8L","Price N/A","4.6","https://www.amazon.sa//-/en/Ariel-Automatic-Laundry-Detergent-Freshness/dp/B097JTY774/ref=zg_bs_g_health_d_sccl_13/258-4562754-5173959?psc=1","B097JTY774","https://images-eu.ssl-images-amazon.com/images/I/71uFiljaKUL._AC_UL600_SR600,400_.jpg"
"#14","Finish Powerball Dishwasher Detergent All in One Tablets for Deep Clean & Sparkling Shine, Lemon Sparkle - 50 Tabs (Pack of 2)","SAR 65.95","4.6","https://www.amazon.sa//-/en/Finish-Powerball-Dishwasher-Detergent-Sparkling/dp/B0B1JDG7B5/ref=zg_bs_g_health_d_sccl_14/258-4562754-5173959?psc=1","B0B1JDG7B5","https://images-eu.ssl-images-amazon.com/images/I/81wMdL7-hrL._AC_UL600_SR600,400_.jpg"
"#15","Tide Powder Detergent, With The Essence Of Downy Freshness, 7 Kg","SAR 59.94","4.6","https://www.amazon.sa//-/en/Tide-Powder-Detergent-Essence-Freshness/dp/B083X1K14W/ref=zg_bs_g_health_d_sccl_15/258-4562754-5173959?psc=1","B083X1K14W","https://images-eu.ssl-images-amazon.com/images/I/71NRO0ZxD6S._AC_UL600_SR600,400_.jpg"
"#16","Harpic Powerplus Toilet Cleaner Liquid, Lavender 750ml 2+1 FREE","SAR 20.95","4.6","https://www.amazon.sa//-/en/Harpic-Powerplus-Toilet-Cleaner-Lavender/dp/B0B5VGX51Y/ref=zg_bs_g_health_d_sccl_16/258-4562754-5173959?psc=1","B0B5VGX51Y","https://images-eu.ssl-images-amazon.com/images/I/81UQlGsNIHL._AC_UL600_SR600,400_.jpg"
"#17","Dac Disinfectant Floor Cleaner - Lavender, 4.5L","SAR 19.95","4.6","https://www.amazon.sa//-/en/Dac-Disinfectant-Floor-Cleaner-Lavender/dp/B07SJNY1JM/ref=zg_bs_g_health_d_sccl_17/258-4562754-5173959?psc=1","B07SJNY1JM","https://images-eu.ssl-images-amazon.com/images/I/71419l-Q1ZL._AC_UL600_SR600,400_.jpg"
"#18","OMO Automatic Liquid Laundry Detergent for 100% effective stain removal, 2L","SAR 16.66","4.6","https://www.amazon.sa//-/en/Automatic-Laundry-Detergent-effective-removal/dp/B08LVFY4Q3/ref=zg_bs_g_health_d_sccl_18/258-4562754-5173959?psc=1","B08LVFY4Q3","https://images-eu.ssl-images-amazon.com/images/I/71e+fbRPMkL._AC_UL600_SR600,400_.jpg"
"#19","Hala Facial Tissues pack of 10 boxes, 160 Sheets X 2Ply, White","SAR 14.95","4.4","https://www.amazon.sa//-/en/Hala-Facial-Tissues-boxes-Sheets/dp/B07PDZS6LQ/ref=zg_bs_g_health_d_sccl_19/258-4562754-5173959?psc=1","B07PDZS6LQ","https://images-eu.ssl-images-amazon.com/images/I/51f6-4pLmNL._AC_UL600_SR600,400_.jpg"
