"rank","title","price","rating","link","SKU","image_link"
"#1","Korkmaz Alfa 9 Piece Cookware Set by Korkmaz","SAR 493.19","4.4","https://www.amazon.sa//-/en/Korkmaz-Alfa-Piece-Cookware-Set/dp/B00HUV9MXI/ref=zg_bs_g_home_d_sccl_1/260-8178768-7945303?psc=1","B00HUV9MXI","https://images-eu.ssl-images-amazon.com/images/I/61YG0oBN8UL._AC_UL600_SR600,400_.jpg"
"#2","Philips Fabric Shaver – Removes Fabric Pills, Suitable for all Garments, Batteries Included - GC026/80","SAR 41.00","4.5","https://www.amazon.sa//-/en/Philips-Fabric-Shaver-Suitable-Batteries/dp/B07M8J529S/ref=zg_bs_g_home_d_sccl_2/260-8178768-7945303?psc=1","B07M8J529S","https://images-eu.ssl-images-amazon.com/images/I/611gdS+5o4L._AC_UL600_SR600,400_.jpg"
"#3","SKY-TOUCH Adhesive Hooks Heavy Duty Wall Hooks 20Pack 8kg (Max) Self Adhesive Hook","SAR 6.21","4.5","https://www.amazon.sa//-/en/SKY-TOUCH-Adhesive-Hooks-Heavy-20Pack/dp/B07XQKQSM3/ref=zg_bs_g_home_d_sccl_3/260-8178768-7945303?psc=1","B07XQKQSM3","https://images-eu.ssl-images-amazon.com/images/I/61v-DUo-vZL._AC_UL600_SR600,400_.jpg"
"#4","PHILIPS Air Fryer 0.8Kg Capacity to Fry, Bake, Grill, Roast Or Reheat, 60Hz Only, HD9200/90","SAR 269.00","4.5","https://www.amazon.sa//-/en/PHILIPS-Capacity-Reheat-HD9200-90/dp/B08H7RKSM7/ref=zg_bs_g_home_d_sccl_4/260-8178768-7945303?psc=1","B08H7RKSM7","https://images-eu.ssl-images-amazon.com/images/I/71xcyp-FniL._AC_UL600_SR600,400_.jpg"
"#5","BLACK+DECKER Coffee Maker/Coffee Machine, 900W, 12 Cup/1.5L Glass Carafe, 24 Hours Programmable with Drip Stop Mechanism to Avoid Spillage, Lcd Display with Digital Control, DCM85-B5","SAR 129.00","4.5","https://www.amazon.sa//-/en/Machine-Programmable-Mechanism-Spillage-DCM85-B5/dp/B07TKKDYN3/ref=zg_bs_g_home_d_sccl_5/260-8178768-7945303?psc=1","B07TKKDYN3","https://images-eu.ssl-images-amazon.com/images/I/71K9JxNx-tL._AC_UL600_SR600,400_.jpg"
"#6","SKY-TOUCH Coffee Filter 100 pcs, Coffee Filter Paper V60 Unbleached Disposable Coffee Filters Paper for Pour Over and Drip Coffee Maker (2-4 Cups)","SAR 11.78","4.5","https://www.amazon.sa//-/en/SKY-TOUCH-Coffee-Unbleached-Disposable-Filters/dp/B0BJL6JKL5/ref=zg_bs_g_home_d_sccl_6/260-8178768-7945303?psc=1","B0BJL6JKL5","https://images-eu.ssl-images-amazon.com/images/I/71SbFHVCNgL._AC_UL600_SR600,400_.jpg"
"#7","Sanita Cooking and Baking Paper 24-Pieces, 10 m Length, White","SAR 6.95","4.6","https://www.amazon.sa//-/en/Sanita-Cooking-Baking-24-Pieces-Length/dp/B07G8KWL8G/ref=zg_bs_g_home_d_sccl_7/260-8178768-7945303?psc=1","B07G8KWL8G","https://images-eu.ssl-images-amazon.com/images/I/51Q6j-f+GTL._AC_UL600_SR600,400_.jpg"
"#8","Amazon Basics Slim, Velvet, Non-Slip Suit Clothes Hangers, Gray/Silver - Pack of 30","SAR 31.00","4.6","https://www.amazon.sa//-/en/Amazon-Basics-Non-Slip-Clothes-Hangers/dp/B0756DXV8M/ref=zg_bs_g_home_d_sccl_8/260-8178768-7945303?psc=1","B0756DXV8M","https://images-eu.ssl-images-amazon.com/images/I/81yeSy2PbtL._AC_UL600_SR600,400_.jpg"
"#9","Maog Sponge Scrubber, Laminate, 5 Pcs","SAR 7.95","4.5","https://www.amazon.sa//-/en/Maog-Sponge-Scrubber-Laminate-Pcs/dp/B088334MLF/ref=zg_bs_g_home_d_sccl_9/260-8178768-7945303?psc=1","B088334MLF","https://images-eu.ssl-images-amazon.com/images/I/91FzkCaubyL._AC_UL600_SR600,400_.jpg"
"#10","Amazon Basics Smudge Resistant Rectangular Trash Can With Soft-Close Foot Pedal, Brushed Stainless Steel, 50 Liter/13.2 Gallon, Satin Nickel Finish","SAR 197.00","4.5","https://www.amazon.sa//-/en/Amazon-Basics-Resistant-Rectangular-Soft-Close/dp/B07PCXYSY8/ref=zg_bs_g_home_d_sccl_10/260-8178768-7945303?psc=1","B07PCXYSY8","https://images-eu.ssl-images-amazon.com/images/I/71lpiVWoM9L._AC_UL600_SR600,400_.jpg"
"#11","Moulinex Blendeo+ Blender, 1.5 Litre, With Ice CRush Technology & 2 Grinder And Chopper Accessories, 450 Watts, White, Plastic, Lm2B3127","SAR 119.00","4.3","https://www.amazon.sa//-/en/Moulinex-Blendeo-Technology-Accessories-Lm2B3127/dp/B09X74TZYQ/ref=zg_bs_g_home_d_sccl_11/260-8178768-7945303?psc=1","B09X74TZYQ","https://images-eu.ssl-images-amazon.com/images/I/61nWdZLaDxL._AC_UL600_SR600,400_.jpg"
