"rank","title","price","rating","link","SKU","image_link"
"#1","Multipurpose Washable Double Sided Adhesive Tape nano Tape, Reusable Adhesive Silicone Tape for Walls, Kitchen, Carpet Fixing, Photos Pasting, etc Household & Industrial Gel Tape 3m","SAR 6.90","4.0","https://www.amazon.sa//-/en/Multipurpose-Washable-Adhesive-Household-Industrial/dp/B089K5VM66/ref=zg_bs_g_office-products_d_sccl_1/260-8200324-2519717?psc=1","B089K5VM66","https://images-eu.ssl-images-amazon.com/images/I/51ttmL3CsfL._AC_UL600_SR600,400_.jpg"
"#2","Double A Photocopy A4 Size 80GSM Paper - 500 Sheets, White","SAR 21.85","4.6","https://www.amazon.sa//-/en/Double-Photocopy-Size-80GSM-Paper/dp/B000OZEY3A/ref=zg_bs_g_office-products_d_sccl_2/260-8200324-2519717?psc=1","B000OZEY3A","https://images-eu.ssl-images-amazon.com/images/I/61JanpUSARL._AC_UL600_SR600,400_.jpg"
"#3","SCIENISH 1Pack Digital Scale 5Kg x 1g Food Diet Postal Kitchen Scales Balance Measuring Weight Slim LCD Electronic Household Scale","SAR 22.78","4.0","https://www.amazon.sa//-/en/SCIENISH-Digital-Measuring-Electronic-Household/dp/B07N6PFCN6/ref=zg_bs_g_office-products_d_sccl_3/260-8200324-2519717?psc=1","B07N6PFCN6","https://images-eu.ssl-images-amazon.com/images/I/61YEMsuxBiL._AC_UL600_SR600,400_.jpg"
"#4","Amazon.sa eGift Card","SAR 150.00","4.7","https://www.amazon.sa//-/en/Amazon-sa-eGift-Card-Ramadan-Mosque/dp/B0C1NRYZ8J/ref=zg_bs_g_office-products_d_sccl_4/260-8200324-2519717?psc=1","B0C1NRYZ8J","https://images-eu.ssl-images-amazon.com/images/I/71Q7rP7a80L._AC_UL600_SR600,400_.jpg"
"#5","Roco Copy Paper, A4, 80 Gsm, 500 Sheets, White, 0375RCA4","SAR 21.00","4.5","https://www.amazon.sa//-/en/Roco-A4-500-Sheets-0375RCA4/dp/B083X1M56C/ref=zg_bs_g_office-products_d_sccl_5/260-8200324-2519717?psc=1","B083X1M56C","https://images-eu.ssl-images-amazon.com/images/I/81YqJ0v2SlL._AC_UL600_SR600,400_.jpg"
"#6","Taimi Air Bubble Wrap Packing Roll for Safety & Sealing 25M*50CM","SAR 28.90","4.5","https://www.amazon.sa//-/en/Taimi-Bubble-Wrap-Packing-Sealing/dp/B0C7GT1DJX/ref=zg_bs_g_office-products_d_sccl_6/260-8200324-2519717?psc=1","B0C7GT1DJX","https://images-eu.ssl-images-amazon.com/images/I/617-vAXkAYL._AC_UL600_SR600,400_.jpg"
"#7","Snail Extra Strong Super Glue Set - 8-Piece 2.5g | Jewelry Glue, Drill Glue, Used for Repairing and bonding. Widely Used in Ceramics, Wood, Metal, Plastic, Glass, Ceramic and More","SAR 10.51","5.0","https://www.amazon.sa//-/en/Snail-Extra-Strong-Super-Glue/dp/B0CRR6PFJC/ref=zg_bs_g_office-products_d_sccl_7/260-8200324-2519717?psc=1","B0CRR6PFJC","https://images-eu.ssl-images-amazon.com/images/I/61BrKH9k8hL._AC_UL600_SR600,400_.jpg"
"#8","Double A Premium A4 Double Quality Paper, 80 GSM Set of 5 Reams- 2500 Pages, 3613630000059","SAR 103.85","4.8","https://www.amazon.sa//-/en/Double-Premium-Quality-Reams-3613630000059/dp/B00H2D7AUQ/ref=zg_bs_g_office-products_d_sccl_8/260-8200324-2519717?psc=1","B00H2D7AUQ","https://images-eu.ssl-images-amazon.com/images/I/713umwldjXL._AC_UL600_SR600,400_.jpg"
"#9","Amazon Basics Expanding Organizer File Folder, Letter Size - Black, 1-Pack","SAR 12.75","4.6","https://www.amazon.sa//-/en/Amazon-Basics-Expanding-Organizer-Folder/dp/B01B25NN64/ref=zg_bs_g_office-products_d_sccl_9/260-8200324-2519717?psc=1","B01B25NN64","https://images-eu.ssl-images-amazon.com/images/I/81WVDfGBJmL._AC_UL600_SR600,400_.jpg"
"#10","Faber Castell 12 Goldfaber Graphite Pencils With Eraser Tip-116800","SAR 15.19","4.6","https://www.amazon.sa//-/en/Castell-Goldfaber-Graphite-Pencils-Tip-116800/dp/B085HZP8WZ/ref=zg_bs_g_office-products_d_sccl_10/260-8200324-2519717?psc=1","B085HZP8WZ","https://images-eu.ssl-images-amazon.com/images/I/61xg-aez31L._AC_UL600_SR600,400_.jpg"
