"rank","title","price","rating","link","SKU","image_link"
"#1","Pif Paf Multi Insect Killer, 3X300 Ml, Pack Of 3","SAR 16.95","4.4","https://www.amazon.sa//-/en/Multi-Insect-Killer-3X300-Pack/dp/B07P67R3WL/ref=zg_bs_g_garden_d_sccl_1/262-6450322-3957660?psc=1","B07P67R3WL","https://images-eu.ssl-images-amazon.com/images/I/81CKpvJrSBL._AC_UL600_SR600,400_.jpg"
"#2","Pif Paf Mosquito And Fly Killer Liquid Electrical Device Refill Without Device, 60 Night - Pack May Vary","SAR 14.95","3.9","https://www.amazon.sa//-/en/Mosquito-Killer-Liquid-Electrical-Without/dp/B07G9LTY9T/ref=zg_bs_g_garden_d_sccl_2/262-6450322-3957660?psc=1","B07G9LTY9T","https://images-eu.ssl-images-amazon.com/images/I/712tTPBBExL._AC_UL600_SR600,400_.jpg"
"#3","Raid Liquid Mosquito Killer, 30 Days","SAR 16.95","3.9","https://www.amazon.sa//-/en/Raid-Liquid-Mosquito-Killer-Days/dp/B084ZTRZVP/ref=zg_bs_g_garden_d_sccl_3/262-6450322-3957660?psc=1","B084ZTRZVP","https://images-eu.ssl-images-amazon.com/images/I/81OcjVi+ebL._AC_UL600_SR600,400_.jpg"
"#4","Mie Zhang Qing Cockroach Killing Powder (10)","SAR 20.00","4.2","https://www.amazon.sa//-/en/Mie-Zhang-Qing-Cockroach-Killing/dp/B09WZJRDXL/ref=zg_bs_g_garden_d_sccl_4/262-6450322-3957660?psc=1","B09WZJRDXL","https://images-eu.ssl-images-amazon.com/images/I/81GGxubo3WL._AC_UL600_SR600,400_.jpg"
"#5","homegeek Electronic Bug Zapper Racket","SAR 34.88","3.5","https://www.amazon.sa//-/en/homegeek-Electronic-Bug-Zapper-Racket/dp/B08D9G7JX9/ref=zg_bs_g_garden_d_sccl_5/262-6450322-3957660?psc=1","B08D9G7JX9","https://images-eu.ssl-images-amazon.com/images/I/51xWkdoD75S._AC_UL600_SR600,400_.jpg"
"#6","ARS Liquid Refill 360 Hours","SAR 12.95","4.3","https://www.amazon.sa//-/en/ARS-Liquid-Refill-360-Hours/dp/B09LVPF7M4/ref=zg_bs_g_garden_d_sccl_6/262-6450322-3957660?psc=1","B09LVPF7M4","https://images-eu.ssl-images-amazon.com/images/I/61Tbzj-NHGL._AC_UL600_SR600,400_.jpg"
"#7","Raid Multi-Insect Killer Aerosol Spray Twin Pack 300 ml, 2-Pieces","SAR 16.95","4.6","https://www.amazon.sa//-/en/Raid-Multi-Insect-Killer-Aerosol-2-Pieces/dp/B0C1C68YBK/ref=zg_bs_g_garden_d_sccl_7/262-6450322-3957660?psc=1","B0C1C68YBK","https://images-eu.ssl-images-amazon.com/images/I/61elgeyNQDL._AC_UL600_SR600,400_.jpg"
"#8","Geepas Fly And Insect Killer - Powerful Fly/Electric Bug Zapper 16W Uv Light, Insect Killer, Fly Killer, Wasp Killer - Insect Killing Mesh Grid, With Detachable Hang - Silver/Black - GBK1132N","SAR 77.00","3.1","https://www.amazon.sa//-/en/Geepas-Fly-Insect-Killer-Detachable/dp/B07Y6N5N13/ref=zg_bs_g_garden_d_sccl_8/262-6450322-3957660?psc=1","B07Y6N5N13","https://images-eu.ssl-images-amazon.com/images/I/71Bxqv-K61L._AC_UL600_SR600,400_.jpg"
"#9","Soloksa NPK 20-20-20 Fertilizer 1 kg","SAR 18.00","4.2","https://www.amazon.sa//-/en/Soloksa-10323-NPK-20-20-20-Fertilizer/dp/B0CH1FRJLR/ref=zg_bs_g_garden_d_sccl_9/262-6450322-3957660?psc=1","B0CH1FRJLR","https://images-eu.ssl-images-amazon.com/images/I/61K17zFlMlL._AC_UL600_SR600,400_.jpg"
"#10","SKY-TOUCH Folding Lightweight Trestle Outdoor Camping Table,Heavy Duty Plastic Outdoor Folding Picnic Table,Folding Trestle Table For BBQ Party, Folds in Half with Carry Handle,White(180×75×75cm)","SAR 155.00","3.8","https://www.amazon.sa//-/en/SKY-TOUCH-Outdoor-Table-Picnic-180%C3%9775%C3%9775cm/dp/B0CF5DBQ79/ref=zg_bs_g_garden_d_sccl_10/262-6450322-3957660?psc=1","B0CF5DBQ79","https://images-eu.ssl-images-amazon.com/images/I/41T7RzXfEXL._AC_UL600_SR600,400_.jpg"
"#11","SKY-TOUCH Folding Table Multi-functional Portable Desk with Adjustable Height Legs for Computer Camping, Garden, Picnic,Coffee,BBQ,(80 * 40 * 75cm), Wood","SAR 107.00","3.7","https://www.amazon.sa//-/en/SKY-TOUCH-Multi-functional-Portable-Adjustable-Computer/dp/B09TRRKTNT/ref=zg_bs_g_garden_d_sccl_11/262-6450322-3957660?psc=1","B09TRRKTNT","https://images-eu.ssl-images-amazon.com/images/I/61vNZamErgL._AC_UL600_SR600,400_.jpg"
"#12","BLACK+DECKER Pressure Washer, 1400W, Orange/Black - Pw1450Td-B5,","SAR 239.00","3.7","https://www.amazon.sa//-/en/DECKER-Pressure-Washer-Orange-Black/dp/B09W58NWND/ref=zg_bs_g_garden_d_sccl_12/262-6450322-3957660?psc=1","B09W58NWND","https://images-eu.ssl-images-amazon.com/images/I/71LGLBL8spL._AC_UL600_SR600,400_.jpg"
"#13","Cosmoplast 6291048151050 Plastic Folding Chair For Indoors And Outdoors","SAR 53.55","4.2","https://www.amazon.sa//-/en/Cosmoplast-6291048151050-Plastic-Folding-Outdoors/dp/B081M7LCW1/ref=zg_bs_g_garden_d_sccl_13/262-6450322-3957660?psc=1","B081M7LCW1","https://images-eu.ssl-images-amazon.com/images/I/51w0vSx36+L._AC_UL600_SR600,400_.jpg"
"#14","Soloksa NPK 10-52-10 Fertilizer 1 kg","SAR 19.00","4.6","https://www.amazon.sa//-/en/Soloksa-10313-NPK-10-52-10-Fertilizer/dp/B0CH1CBDPW/ref=zg_bs_g_garden_d_sccl_14/262-6450322-3957660?psc=1","B0CH1CBDPW","https://images-eu.ssl-images-amazon.com/images/I/61QDjdYft3L._AC_UL600_SR600,400_.jpg"
"#15","Raid Multi-Insect Killer Odorless Aerosol Spray Twin Pack 300 ml, 2-Pieces","SAR 21.92","4.1","https://www.amazon.sa//-/en/Raid-Multi-Insect-Odorless-Aerosol-2-Pieces/dp/B0C1C5J8FQ/ref=zg_bs_g_garden_d_sccl_15/262-6450322-3957660?psc=1","B0C1C5J8FQ","https://images-eu.ssl-images-amazon.com/images/I/61RgXSZs6oL._AC_UL600_SR600,400_.jpg"
"#16","VINNYSEN Folding Table, Portable Lightweight Folding Camping Table, Aluminum Small Folding Table Portable with Handle, Adjustable Height for Picnic, Party, BBQ, Black","SAR 84.99","4.1","https://www.amazon.sa//-/en/VINNYSEN-Portable-Lightweight-Aluminum-Adjustable/dp/B0C2C6KSYC/ref=zg_bs_g_garden_d_sccl_16/262-6450322-3957660?psc=1","B0C2C6KSYC","https://images-eu.ssl-images-amazon.com/images/I/71MFuCc2IBL._AC_UL600_SR600,400_.jpg"
"#17","Garden Safe TakeRoot Rooting Hormone 2 oz, Helps New Plants grow from Cuttings","SAR 52.75","4.3","https://www.amazon.sa//-/en/Garden-Safe-TakeRoot-Rooting-Cuttings/dp/B00AA8WPGY/ref=zg_bs_g_garden_d_sccl_17/262-6450322-3957660?psc=1","B00AA8WPGY","https://images-eu.ssl-images-amazon.com/images/I/71t3RZ1p8yL._AC_UL600_SR600,400_.jpg"
"#18","ECVV Plastic Dining Chair for Living Room, Dining Chair for Home, Kitchen, Indoor and Outdoor like patio, Terrace and Garden, Plastic Dining Chair for Bedroom | WHITE |","SAR 67.15","Rating N/A","https://www.amazon.sa//-/en/ECVV-Plastic-Kitchen-Outdoor-Terrace/dp/B0CK2S3V7J/ref=zg_bs_g_garden_d_sccl_18/262-6450322-3957660?psc=1","B0CK2S3V7J","https://images-eu.ssl-images-amazon.com/images/I/41ib4Or9kUL._AC_UL600_SR600,400_.jpg"
"#19","SKY-TOUCH Folding Trestle Outdoor Camping Table,Aluminum Alloy Outdoor Folding Picnic Table,Lightweight Trestle Outdoor Camping Table For BBQ Party, Folds in Half with Carry Handle,White(120×60×70cm)","SAR 100.30","5.0","https://www.amazon.sa//-/en/SKY-TOUCH-Folding-Table-Aluminum-Picnic/dp/B0CR3MN93H/ref=zg_bs_g_garden_d_sccl_19/262-6450322-3957660?psc=1","B0CR3MN93H","https://images-eu.ssl-images-amazon.com/images/I/418G5kqym7L._AC_UL600_SR600,400_.jpg"
"#20","ARS MOSQUITOS MAT 30 pcs","SAR 19.80","4.1","https://www.amazon.sa//-/en/ARS-MOSQUITOS-MAT-30-pcs/dp/B0BDFF7PGG/ref=zg_bs_g_garden_d_sccl_20/262-6450322-3957660?psc=1","B0BDFF7PGG","https://images-eu.ssl-images-amazon.com/images/I/611+xfzL4kL._AC_UL600_SR600,400_.jpg"
