"rank","title","price","rating","link","SKU","image_link"
"#1","Whiskas Oceanfish Catfood, Purple, 80 g, Pack Of 12, 430440","SAR 29.30","4.3","https://www.amazon.sa//-/en/Whiskas-Oceanfish-Catfood-Purple-430440/dp/B09KQ58SJL/ref=zg_bs_g_pet-supplies_d_sccl_1/262-6475623-0270327?psc=1","B09KQ58SJL","https://images-eu.ssl-images-amazon.com/images/I/710xaEGR89L._AC_UL600_SR600,400_.jpg"
"#2","Thomas Cat Litter, Natural Minerals Litter Sand, it's Non-Clumping and Highly Absorbent Nature Ensures Your Cat to Come Back to its Cat Litter Box with Comfort, Bag of 16L","SAR 48.95","4.0","https://www.amazon.sa//-/en/Thomas-Natural-Minerals-Non-Clumping-Absorbent/dp/B0037XNXIS/ref=zg_bs_g_pet-supplies_d_sccl_2/262-6475623-0270327?psc=1","B0037XNXIS","https://images-eu.ssl-images-amazon.com/images/I/71GxceNAFeL._AC_UL600_SR600,400_.jpg"
"#3","Royalist Cat Creamy Snack Pack Salmon 75g (5×15g)","SAR 10.88","5.0","https://www.amazon.sa//-/en/Royalist-Creamy-Snack-Salmon-5%C3%9715g/dp/B0CRZ4NVV5/ref=zg_bs_g_pet-supplies_d_sccl_3/262-6475623-0270327?psc=1","B0CRZ4NVV5","https://images-eu.ssl-images-amazon.com/images/I/61vcqX2z8eL._AC_UL600_SR600,400_.jpg"
"#4","Whiskas Wet Cat Food Tuna, Made with Real Fish, for Adult Cats 1+ Years, Flavor Lock Pouch Made for Sealing Freshness, High Quality Ingredients for a Complete & Balanced Nutrition, Pack of 12x80g","SAR 29.20","4.4","https://www.amazon.sa//-/en/Whiskas-Freshness-Ingredients-Complete-Nutrition/dp/B09KMCCJY4/ref=zg_bs_g_pet-supplies_d_sccl_4/262-6475623-0270327?psc=1","B09KMCCJY4","https://images-eu.ssl-images-amazon.com/images/I/71lZXtjHObL._AC_UL600_SR600,400_.jpg"
"#5","Whiskas Chicken in Gravy, Wet Cat Food Pouch, for 1+ Years Adult Cats, Flavor Lock Pouch for Sealing Freshness, Made with High Quality Ingredients for a Complete & Balanced Nutrition, Pack of 12x80g","SAR 29.00","4.3","https://www.amazon.sa//-/en/Whiskas-Freshness-Ingredients-Complete-Nutrition/dp/B09R2FM6HN/ref=zg_bs_g_pet-supplies_d_sccl_5/262-6475623-0270327?psc=1","B09R2FM6HN","https://images-eu.ssl-images-amazon.com/images/I/71FeEE5dNEL._AC_UL600_SR600,400_.jpg"
"#6","Whiskas Temptations Tender Chicken, 75g","SAR 8.50","4.7","https://www.amazon.sa//-/en/Whiskas-Temptations-Tender-Chicken-75g/dp/B006LRL8IO/ref=zg_bs_g_pet-supplies_d_sccl_6/262-6475623-0270327?psc=1","B006LRL8IO","https://images-eu.ssl-images-amazon.com/images/I/614sh5egGAL._AC_UL600_SR600,400_.jpg"
"#7","Purina Friskies Surfin Favourites Dry Cat Food 1.1kg","SAR 21.00","4.4","https://www.amazon.sa//-/en/Purina-Friskies-Surfin-Favourites-1-1kg/dp/B01CCWTBP8/ref=zg_bs_g_pet-supplies_d_sccl_7/262-6475623-0270327?psc=1","B01CCWTBP8","https://images-eu.ssl-images-amazon.com/images/I/81+WXr8yDbL._AC_UL600_SR600,400_.jpg"
"#8","Purina Friskies Surfin Favourites Dry Cat Food 6.5Kg","SAR 95.58","4.5","https://www.amazon.sa//-/en/Purina-Friskies-Surfin-Favourites-6-5Kg/dp/B07SGSMMBM/ref=zg_bs_g_pet-supplies_d_sccl_8/262-6475623-0270327?psc=1","B07SGSMMBM","https://images-eu.ssl-images-amazon.com/images/I/81nfY--G7-L._AC_UL600_SR600,400_.jpg"
"#9","Purina Friskies Kitten Food Discovery Cat Food 1.1kg","SAR 19.85","4.5","https://www.amazon.sa//-/en/Purina-Friskies-Kitten-Discovery-1-1kg/dp/B07SB15X7L/ref=zg_bs_g_pet-supplies_d_sccl_9/262-6475623-0270327?psc=1","B07SB15X7L","https://images-eu.ssl-images-amazon.com/images/I/81jN8ST0RCL._AC_UL600_SR600,400_.jpg"
"#10","Purina Friskies Indoor Delights Dry Cat Food 1.1Kg","SAR 21.00","4.6","https://www.amazon.sa//Purina-Friskies-Indoor-Delights-1-1Kg/dp/B06XYKJXWF/ref=zg_bs_g_pet-supplies_d_sccl_10/262-6475623-0270327?psc=1","B06XYKJXWF","https://images-eu.ssl-images-amazon.com/images/I/81tQmrEqjdL._AC_UL600_SR600,400_.jpg"
"#11","Whiskas Chicken Dry Food, for Adult Cats 1+ Years, Natural Fibers Gently Move Hairballs Through Your Cat’s Digestive System. Prepared with High Quality Natural Ingredients, Bag of 1.2 kg","SAR 24.80","4.4","https://www.amazon.sa//-/en/Whiskas-Hairballs-Digestive-Prepared-Ingredients/dp/B07P8B2PXP/ref=zg_bs_g_pet-supplies_d_sccl_11/262-6475623-0270327?psc=1","B07P8B2PXP","https://images-eu.ssl-images-amazon.com/images/I/71tPiqoCHRL._AC_UL600_SR600,400_.jpg"
"#12","Felyn Go Cat Litter Baby Powder 10L","SAR 31.95","3.5","https://www.amazon.sa//-/en/Felyn-Go-Litter-Baby-Powder/dp/B0CNGRJ25L/ref=zg_bs_g_pet-supplies_d_sccl_12/262-6475623-0270327?psc=1","B0CNGRJ25L","https://images-eu.ssl-images-amazon.com/images/I/61MBQ7Pq0cL._AC_UL600_SR600,400_.jpg"
"#13","Cat litter deodorizer powder","SAR 25.52","4.5","https://www.amazon.sa//-/en/ARM-HAMMER-thomaswi-litter-deodorizer/dp/B000V5NVQ4/ref=zg_bs_g_pet-supplies_d_sccl_13/262-6475623-0270327?psc=1","B000V5NVQ4","https://images-eu.ssl-images-amazon.com/images/I/81h9Az88HpL._AC_UL600_SR600,400_.jpg"
"#14","Whiskas Temptations Tuna Cat Treats 75g","SAR 8.50","4.7","https://www.amazon.sa//-/en/Whiskas-Temptations-Tuna-Cat-Treats/dp/B00LM92Z6U/ref=zg_bs_g_pet-supplies_d_sccl_14/262-6475623-0270327?psc=1","B00LM92Z6U","https://images-eu.ssl-images-amazon.com/images/I/71GevpysjFL._AC_UL600_SR600,400_.jpg"
"#15","PURINA ONE Indoor Advantage Chicken 1.2kg","SAR 37.51","4.6","https://www.amazon.sa//-/en/PURINA-ONE-Indoor-Advantage-Chicken/dp/B0B611V2YR/ref=zg_bs_g_pet-supplies_d_sccl_15/262-6475623-0270327?psc=1","B0B611V2YR","https://images-eu.ssl-images-amazon.com/images/I/71JrvMaCMGL._AC_UL600_SR600,400_.jpg"
"#16","Sheba Wet Cat Food Canned Delicious Chicken Breast, Made with Natural Chicken Plus Essential Vitamins and Minerals, Sheba Wet Food Made with Grain Free Formula Suitable for Sensitive Cats, 6 x 85g","SAR 32.20","4.6","https://www.amazon.sa//-/en/Sheba-Delicious-Essential-Vitamins-Sensitive/dp/B07PLZX89B/ref=zg_bs_g_pet-supplies_d_sccl_16/262-6475623-0270327?psc=1","B07PLZX89B","https://images-eu.ssl-images-amazon.com/images/I/71dynqi7jKL._AC_UL600_SR600,400_.jpg"
"#17","Fancy Feast Puree Kiss Tuna Puree with Chicken Flakes, 10g x 4","SAR 9.56","4.6","https://www.amazon.sa//-/en/Fancy-Feast-Puree-Chicken-Flakes/dp/B07KX45BNN/ref=zg_bs_g_pet-supplies_d_sccl_17/262-6475623-0270327?psc=1","B07KX45BNN","https://images-eu.ssl-images-amazon.com/images/I/71c6aGPVFoL._AC_UL600_SR600,400_.jpg"
