"rank","title","price","rating","link","SKU","image_link"
"#1","PROIRON Neoprene Dumbbells Weights Exercise & Fitness Dumbbells in 1kg 1.5kg 2kg 3kg 4kg 5kg 6kg 8kg 10kg Pair","SAR 36.78","4.6","https://www.amazon.sa//-/en/PROIRON-Neoprene-Dumbbells-Weights-Exercise/dp/B0757DSDGK/ref=zg_bs_g_sports-goods_d_sccl_1/257-7942163-7220360?psc=1","B0757DSDGK","https://images-eu.ssl-images-amazon.com/images/I/81CIawE9HpL._AC_UL600_SR600,400_.jpg"
"#2","BalanceFrom GoYoga All-Purpose 1/2-Inch Extra Thick High Density Anti-Tear Exercise Yoga Mat with Carrying Strap","SAR 28.95","4.2","https://www.amazon.sa//-/en/Signature-Fitness-Anti-Tear-Exercise-Carrying/dp/B00FO9U46W/ref=zg_bs_g_sports-goods_d_sccl_2/257-7942163-7220360?psc=1","B00FO9U46W","https://images-eu.ssl-images-amazon.com/images/I/81bDVYz4OrL._AC_UL600_SR600,400_.jpg"
"#3","DEGOL Skipping Rope with Ball Bearings Rapid Speed Adjustable Jump Rope Cable and 6” Memory Foam Handles Ideal for Aerobic Exercise Like Speed Training, Extreme Jumping, Endurance Training and Gym","SAR 9.00","4.0","https://www.amazon.sa//-/en/DEGOL-Skipping-Bearings-Adjustable-Endurance/dp/B07P2F2YHT/ref=zg_bs_g_sports-goods_d_sccl_3/257-7942163-7220360?psc=1","B07P2F2YHT","https://images-eu.ssl-images-amazon.com/images/I/61oh3g5B9PL._AC_UL600_SR600,400_.jpg"
"#4","PROIRON Resistance Band Pull Up Assist Band Heavy Duty Powerlifting Exercise Stretch Bands for Powerlifting, Muscle Toning, CrossFit, Yoga, Stretch Mobility","SAR 15.98","4.5","https://www.amazon.sa//-/en/PROIRON-Resistance-Powerlifting-Exercise-CrossFit/dp/B07DG1MMM9/ref=zg_bs_g_sports-goods_d_sccl_4/257-7942163-7220360?psc=1","B07DG1MMM9","https://images-eu.ssl-images-amazon.com/images/I/51CLff5pp9S._AC_UL600_SR600,400_.jpg"
"#5","SKY-TOUCH Yoga Mat Non Slip, Yoga Mat with Strap Included 10mm Thick Exercise Mat Ideal for HiiT, Pilates, Yoga and Many Other Home Workouts","SAR 29.40","4.2","https://www.amazon.sa//-/en/SKY-TOUCH-Included-Exercise-Pilates-Workouts/dp/B0BS3MYZ4Q/ref=zg_bs_g_sports-goods_d_sccl_5/257-7942163-7220360?psc=1","B0BS3MYZ4Q","https://images-eu.ssl-images-amazon.com/images/I/61BeptM3PNL._AC_UL600_SR600,400_.jpg"
"#6","Sky-Touch Elete Exercise Resistance Bands Set Of 5 Resistance Loops Extra Light To Extra Heavy Resistance 12 Inch Work Out Bands Perfect For Gym, Fitness, Yoga, Multicolor, Resendent Bank 1,","SAR 7.00","3.8","https://www.amazon.sa//-/en/Sky-Touch-Exercise-Resistance-Multicolor-Resendent/dp/B07Z55V5WM/ref=zg_bs_g_sports-goods_d_sccl_6/257-7942163-7220360?psc=1","B07Z55V5WM","https://images-eu.ssl-images-amazon.com/images/I/716YmzAfg7L._AC_UL600_SR600,400_.jpg"
"#7","SKY-TOUCH 5PCS/Set Resistance Band fitness 6Levels Latex Gym Strength Training Rubber Loops Bands Fitness CrossFit Equipment Yoga Exercise Pull Rope Elastic Bands for Fit","SAR 8.00","3.8","https://www.amazon.sa//-/en/SKY-TOUCH-Resistance-Strength-Training-Equipment/dp/B07MX8TM5M/ref=zg_bs_g_sports-goods_d_sccl_7/257-7942163-7220360?psc=1","B07MX8TM5M","https://images-eu.ssl-images-amazon.com/images/I/61SBmNU3woL._AC_UL600_SR600,400_.jpg"
"#8","PROIRON Resistance Bands Set 14 Pieces Anti-Snap Resistance Band Exercise with Handles, Door Anchor, Ankle Straps, Training Manual and Carrying Bag","SAR 63.98","4.4","https://www.amazon.sa//-/en/PROIRON-Resistance-Anti-Snap-Exercise-Training/dp/B07V6WDSFV/ref=zg_bs_g_sports-goods_d_sccl_8/257-7942163-7220360?psc=1","B07V6WDSFV","https://images-eu.ssl-images-amazon.com/images/I/91aanB-hVOL._AC_UL600_SR600,400_.jpg"
"#9","PROIRON Water Bottle 0.5L/1L Leak-Proof Drink Bottle BPA Free USA Tritan Material Gym Bottle with Protein Shaker, Flip Top Lid & Removable Strainer for Fitness Cycling, Gym Camping Outdoor Sports","SAR 39.98","4.6","https://www.amazon.sa//-/en/PROIRON-Leak-Proof-Material-Removable-Strainer/dp/B07WYX3VQ7/ref=zg_bs_g_sports-goods_d_sccl_9/257-7942163-7220360?psc=1","B07WYX3VQ7","https://images-eu.ssl-images-amazon.com/images/I/611vTv5czSL._AC_UL600_SR600,400_.jpg"
"#10","PROIRON Resistance Loop Bands, Exercise bands Set of 5 Rubber Latex Anti-Slip Resistance Band for Workout Stretching Physical Therapy Yoga with carrying Bag","SAR 28.78","4.3","https://www.amazon.sa//-/en/PROIRON-Resistance-Exercise-Anti-Slip-Different/dp/B07T3K157H/ref=zg_bs_g_sports-goods_d_sccl_10/257-7942163-7220360?psc=1","B07T3K157H","https://images-eu.ssl-images-amazon.com/images/I/61htx1slIJL._AC_UL600_SR600,400_.jpg"
