"rank","title","price","rating","link","SKU","image_link"
"#1","Intex 24 Inch Glossy Beach Ball - 59030","SAR 5.50","4.5","https://www.amazon.sa//-/en/Intex-Inch-Glossy-Beach-Ball/dp/B0007XC2ME/ref=zg_bs_g_toys_d_sccl_1/259-0867102-6637049?psc=1","B0007XC2ME","https://images-eu.ssl-images-amazon.com/images/I/51ZDu0xuBQL._AC_UL600_SR600,400_.jpg"
"#2","PicassoTiles 100Pc Set 100pc Magnet Building Tiles Clear Magnetic 3D Building Blocks Construction Playboards, Creativity beyond Imagination, Inspirational, Recreational, Educational Conventional","SAR 119.00","4.8","https://www.amazon.sa//-/en/PicassoTiles-Construction-Inspirational-Recreational-Conventional/dp/B00AU56C5W/ref=zg_bs_g_toys_d_sccl_2/259-0867102-6637049?psc=1","B00AU56C5W","https://images-eu.ssl-images-amazon.com/images/I/918hxj63oOL._AC_UL600_SR600,400_.jpg"
"#3","Montessori Toys for 1 to 3-Year-Old Boys Girls Toddlers, Wooden Sorting & Stacking Toys for Toddlers and Kids Preschool, Educational Toys, Color Recognition Stacker Shape Sorter, Learning Puzzles Gift","SAR 14.95","4.6","https://www.amazon.sa//-/en/Montessori-3-Year-Old-Preschool-Educational-Recognition/dp/B094D42LRN/ref=zg_bs_g_toys_d_sccl_3/259-0867102-6637049?psc=1","B094D42LRN","https://images-eu.ssl-images-amazon.com/images/I/71U06Q9P9YL._AC_UL600_SR600,400_.jpg"
"#4","DMG Baby Crawling Crab Musical Toy,Interactive Walking Dancing Toy with Music Sounds & Lights, Automatically Avoid Obstacles,USB Charging Cable Included,Fun Moving Toy for Babies,Toddlers and Kids (G)","SAR 35.99","4.3","https://www.amazon.sa//-/en/DMG-Crawling-Interactive-Automatically-Obstacles/dp/B09TFC5ZH2/ref=zg_bs_g_toys_d_sccl_4/259-0867102-6637049?psc=1","B09TFC5ZH2","https://images-eu.ssl-images-amazon.com/images/I/713NT0PA+xL._AC_UL600_SR600,400_.jpg"
"#5","YOYIKER Baby Wrist Rattles Toys 0-3-6-12 Months & Foot Sock Rattle Toy, Monkey, Elephant, 4 Pieces","SAR 15.00","4.4","https://www.amazon.sa//-/en/YOYIKER-Rattles-0-3-6-12-Months-Elephant/dp/B08P7G8QZP/ref=zg_bs_g_toys_d_sccl_5/259-0867102-6637049?psc=1","B08P7G8QZP","https://images-eu.ssl-images-amazon.com/images/I/61Pdz05zYBL._AC_UL600_SR600,400_.jpg"
"#6","MINGKIDS Montessori Toys for 1 Year Old,Baby Sorter Toy Colorful Cube and 6 Pcs Multi Sensory Shape, Toddler Developmental Learning Toys Birthday Gifts,Baby Toys 6-12-18 Months","SAR 19.88","4.6","https://www.amazon.sa//-/en/MINGKIDS-Montessori-Colorful-Developmental-Learning/dp/B09BB1VS14/ref=zg_bs_g_toys_d_sccl_6/259-0867102-6637049?psc=1","B09BB1VS14","https://images-eu.ssl-images-amazon.com/images/I/61ets3sXmbL._AC_UL600_SR600,400_.jpg"
"#7","Jackaroo Wooden Board Game for 4 Players With Glass Marbles and Cards, Size 39X39 cm, Black","SAR 55.00","4.4","https://www.amazon.sa//-/en/Jackaroo-Wooden-Board-Players-Marbles/dp/B0CQJYX7BT/ref=zg_bs_g_toys_d_sccl_7/259-0867102-6637049?psc=1","B0CQJYX7BT","https://images-eu.ssl-images-amazon.com/images/I/715rYmfeQOL._AC_UL600_SR600,400_.jpg"
"#8","UNIH Hammer and Ball Drop Toys for 1 Year Old Boy Girl Infant Gifts - Pound a Ball Toddler Toys - Baby Toys for 6 to 12-18 Months","SAR 21.00","4.4","https://www.amazon.sa//-/en/UNIH-Hammer-Ball-Infant-Gifts/dp/B08FDN1VSR/ref=zg_bs_g_toys_d_sccl_8/259-0867102-6637049?psc=1","B08FDN1VSR","https://images-eu.ssl-images-amazon.com/images/I/61bndkTtoXL._AC_UL600_SR600,400_.jpg"
"#9","Arabest Kids Tool Kit, Wooden Tool Box, Construction Playset, Educational STEM Construction Toys, Ramadan Birthday Gifts for 2-6 Years Old Toddler Boys Girls (Cartoon)","SAR 57.92","4.4","https://www.amazon.sa//-/en/Arabest-Construction-Playset-Educational-Birthday/dp/B09TZX2C2K/ref=zg_bs_g_toys_d_sccl_9/259-0867102-6637049?psc=1","B09TZX2C2K","https://images-eu.ssl-images-amazon.com/images/I/71GUpj46M7L._AC_UL600_SR600,400_.jpg"
"#10","Soft Plastic Ocean Ball Toys - 50 Pieces","SAR 28.98","4.3","https://www.amazon.sa//-/en/Soft-Plastic-Ocean-Ball-Toys/dp/B0839Q3QY4/ref=zg_bs_g_toys_d_sccl_10/259-0867102-6637049?psc=1","B0839Q3QY4","https://images-eu.ssl-images-amazon.com/images/I/71-6alXOg6L._AC_UL600_SR600,400_.jpg"
