"rank","title","price","rating","link","SKU","image_link"
"#1","Playstation 5 Dualsense Wireless Controller (Ksa Version) - White","SAR 248.00","4.4","https://www.amazon.sa//-/en/Playstation-Dualsense-Wireless-Controller-Version/dp/B08HKCM222/ref=zg_bs_g_videogames_d_sccl_1/257-4365840-4681935?psc=1","B08HKCM222","https://images-eu.ssl-images-amazon.com/images/I/51Uny4+fkGL._AC_UL600_SR600,400_.jpg"
"#2","HyperX Cloud II Gaming Headset for PC & PS4 & Xbox One, Nintendo Switch, Red","SAR 269.00","4.1","https://www.amazon.sa//-/en/HyperX-Gaming-Headset-Nintendo-Switch/dp/B00SAYCXWG/ref=zg_bs_g_videogames_d_sccl_2/257-4365840-4681935?psc=1","B00SAYCXWG","https://images-eu.ssl-images-amazon.com/images/I/71g5MRbP52L._AC_UL600_SR600,400_.jpg"
"#3","PlayStation 5 Digital Edition Console (SLIM) - KSA Version, 2 Year Manufacturer Warranty","SAR 1,968.45","4.3","https://www.amazon.sa//-/en/PlayStation-Digital-Console-SLIM-Manufacturer/dp/B0CN5Q73LC/ref=zg_bs_g_videogames_d_sccl_3/257-4365840-4681935?psc=1","B0CN5Q73LC","https://images-eu.ssl-images-amazon.com/images/I/51SM5xU-M1L._AC_UL600_SR600,400_.jpg"
"#4","Playstation 5 Dualsense Wireless Controller (Ksa Version) - Midnight Black","SAR 249.00","4.4","https://www.amazon.sa//-/en/Playstation-Dualsense-Wireless-Controller-Version/dp/B096SJTF8F/ref=zg_bs_g_videogames_d_sccl_4/257-4365840-4681935?psc=1","B096SJTF8F","https://images-eu.ssl-images-amazon.com/images/I/61CdkDnFw6S._AC_UL600_SR600,400_.jpg"
"#5","Zord k9 gaming headset, noise cancelling","SAR 119.00","4.0","https://www.amazon.sa//-/en/Zord-gaming-headset-noise-cancelling/dp/B092822SB8/ref=zg_bs_g_videogames_d_sccl_5/257-4365840-4681935?psc=1","B092822SB8","https://images-eu.ssl-images-amazon.com/images/I/81x87BNrU6S._AC_UL600_SR600,400_.jpg"
"#6","Microsoft Xbox Series X Controller Black (KSA Version)","SAR 180.00","4.3","https://www.amazon.sa//-/en/Microsoft-Xbox-Controller-Black-Version/dp/B08HKC3C95/ref=zg_bs_g_videogames_d_sccl_6/257-4365840-4681935?psc=1","B08HKC3C95","https://images-eu.ssl-images-amazon.com/images/I/712Kf43qj4L._AC_UL600_SR600,400_.jpg"
"#7","HyperX SoloCast – USB Condenser Gaming Microphone, for PC, PS4, and Mac, Tap-to-Mute Sensor, Cardioid Polar Pattern, great for Gaming, Streaming, Podcasts, Twitch, YouTube, Discord, Black","SAR 145.00","4.4","https://www.amazon.sa//-/en/HyperX-SoloCast-Microphone-Tap-Mute/dp/B08KFL3SFV/ref=zg_bs_g_videogames_d_sccl_7/257-4365840-4681935?psc=1","B08KFL3SFV","https://images-eu.ssl-images-amazon.com/images/I/616Iboh1sJL._AC_UL600_SR600,400_.jpg"
"#8","Glorious PC Gaming Race model O Gaming-Mouse - Black, Matt","SAR 148.90","4.4","https://www.amazon.sa//-/en/Glorious-PC-Gaming-Race-Gaming-Mouse/dp/B07LDH3TWM/ref=zg_bs_g_videogames_d_sccl_8/257-4365840-4681935?psc=1","B07LDH3TWM","https://images-eu.ssl-images-amazon.com/images/I/71gPyCyreBL._AC_UL600_SR600,400_.jpg"
"#9","Microsoft Xbox Series X Controller White (KSA Version)","SAR 180.00","4.6","https://www.amazon.sa//-/en/Microsoft-Xbox-Controller-White-Version/dp/B08HKD9DR1/ref=zg_bs_g_videogames_d_sccl_9/257-4365840-4681935?psc=1","B08HKD9DR1","https://images-eu.ssl-images-amazon.com/images/I/51ilQN1AEnL._AC_UL600_SR600,400_.jpg"
"#10","PlayStation 5 With Blu-Ray Disc Console (SLIM) - KSA Version, 2 Year Manufacturer Warranty","SAR 2,083.95","4.5","https://www.amazon.sa//-/en/PlayStation-Blu-Ray-Disc-Console-SLIM/dp/B0CN5RCWDD/ref=zg_bs_g_videogames_d_sccl_10/257-4365840-4681935?psc=1","B0CN5RCWDD","https://images-eu.ssl-images-amazon.com/images/I/51WfMQv0uDL._AC_UL600_SR600,400_.jpg"
