rank,title,price,rating
#1,"Apple 2020 MacBook Air Laptop: Apple M1 Chip, 13” Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Gray ; Arabic/English","SAR 3,299.00",4.6
#2,"Lenovo IdeaPad 5Pro,i5-11300H,16inch 2.5K,16GB,512GB SSD,MX450 2GB,W11H","SAR 1,899.00",3.2
#3,"HUAWEI MateBook D15 Laptop,15.6 inch Ultrabook with Eye Comfort FullView Display, 11th Gen Intel Core i5 Processor, 8GB RAM + 512GB SSD, Lightweight Metal Body, Fingerprint Power Button, Mystic Sliver","SAR 2,098.90",4.2
#4,"HP Laptop 15s-fq5022nx, FHD 15.6"", Intel Core i3-1215U (12th Gen), Intel UHD Graphics, 8GB RAM, 256GB SSD, Windows 11 Home, Chalkboard gray - 7E7H1EA","SAR 1,548.00",3.8
#5,"HP Laptop 15s-fq5003nx, 15.6"" FHD, Intel Core i7-1255U 12th Gen, Intel Iris X Graphics, 8GB RAM, 512GB SSD, Windows 11 Home, Natural silver - 6W2H0EA","SAR 2,338.00",3.8
#6,"HUAWEI MateBook D 14 Laptop, 14 inch Ultrabook with 1080P Eye Comfort FullView Display, 11th Gen Intel Core i5 Processor, Fingerprint Power Button, Large 65W Pocket Charger, 8GB + 512GB SSD, Grey","SAR 2,098.90",3.8
#7,"Laptop IdeaPad 1 15IGL7 With 15.6-inch HD Display, Celeron N4020 Processor, 4GB RAM, 256GB SSD, DOS (without windows), Integrated Intel UHD Graphics English, Grey+BAG",SAR 869.00,5
#8,"HUAWEI MateBook D 14 Laptop, 14 inch Ultrabook with 1080P FullView Display, 11th Gen Intel Core i7 Processor, Fingerprint Power Button, Large 65W Pocket Charger, 16GB + 512GB SSD, Mystic Silver","SAR 2,899.00",3.8
#9,"ROG Ally RC71L Gaming Handheld, AMD Ryzen Z1 Extreme 16GB RAM, 512GB SSD, WIN11,120Hz FHD/ 7ms, Touch Screen, Fingerprint, Free 3months Xbox game pass, Saudi official 2Y INT'L WARRANTY","SAR 2,847.00",5
#10,"ASUS VIVOBOOK Laptop X1504ZA-NJ248W SLIM,INTEL CORE I7 1255U, 8GB RAM,512GB SSD, 15.6"" FHD,WINDOWS 11, SILVER COLOR,AR-EN KEYBOARD,2Y INT'L WARRANTY","SAR 2,298.00",4.1
#11,"MSI Modern 14 14"" Ultra Thin & Light Business Laptop: Intel Core i5-1235U Iris Xe 8GB 512GB NVMe, 180-Degree Lay-Flat, USB Type-C w/PD Charging, MicroSD Card Reader, Win 11 Home: Black C12M-032","SAR 1,890.00",3
#12,"Apple 2022 MacBook Air laptop with M2 chip: 13.6-inch Liquid Retina display, 8GB RAM, 256GB SSD storage, 1080p FaceTime HD camera. Works with iPhone and iPad; Midnight; Arabic/English","SAR 4,699.00",4.7
#13,"ASUS VIVOBOOK LAPTOP X1605VA / INTEL CORE I9-13900H / 8GB RAM / 512 SSD STORAGE/16"" INCH WUXGA (1920 X 1200) /WIN 11/AR-EN KEYBOARD/2Y INT'L WARRANTY","SAR 2,948.00",4.1
#14,"Huawei MateBook D15 Portable Laptop Intel Core I3-10110U, 15.6 Inch Fhd With Multi-Screen Collaboration, 256GB SSD, 8GB RAM , Windows 10 Home - Eng/Ar Keyboard, Space Gray","SAR 1,412.00",4.2
#15,"ASUS VIVOBOOK LAPTOP X1504ZA-NJ303W /15.6"" FHD/INTEL CORE I5 1235U /8GB RAM DDR4/ 512GB SSD/HD CAM/WIN 11/AR-EN KEYBOARD/2Y INT'L WARRANTY","SAR 1,849.00",4.4
#16,"Lenovo IdeaPad 3 with 15.6"" FHD, Intel Core i5-1155G7, 8GB RAM, 512GB SSD, Integrated Intel® Iris® Xe Graphics Functions as UHD Graphics, Windows 11, Arctic Grey - [82H8033NAX]","SAR 1,949.00",3.4
#17,"Apple 2023 MacBook Pro (14-inch, Apple M3 Pro chip with 11‑core CPU and 14‑core GPU, 18GB Unified Memory, 512GB) - Space Black; English","SAR 9,309.02",4.1
#18,"2021 HP 15.6"" Touchscreen Laptop / 11 th Gen Intel Quard-Core i5-1135G7 / 12GB DDR4 RAM/ 256GB PCIe SSD/ 802.11ac WiFi/Bluetooth 4.2/ USB 3.1 Type-C/HDMI/Silver/Windows 11 Home, cm Accessories",Price N/A,2.9
#19,"Asus TUF Gaming Laptop FX707ZC4-HX033W With I7-12700H/ 16GB RAM /1TB SSD/17.3"" FHD 144Hz/Nvidia RTX3050-4GB MAX 95W TGP/WIN11/AR-EN Keyboard 1 Zone RGB/2Y Int'l Warranty","SAR 4,299.00",4.3
#20,"Apple 2022 MacBook Air laptop with M2 chip: 13.6-inch Liquid Retina display, 8GB RAM, 512GB SSD storage, 1080p FaceTime HD camera. Works with iPhone and iPad; Space Grey; English","SAR 5,799.00",4.7
#21,"Hp 15 -Bs019Nx Laptop, Processor Core I3-6006U, 15.6 Inch HD LED, 1 TB HDD, 4 GB RAM, Endless - DOS, Smoke Grey","SAR 1,490.00",4.6
#22,"Acer Aspire 1NB Intel Celeron N4500 Quad Core Upto 2.80GHz/4GB DDR4/128GB eMMC Storage/Intel UHD Graphics/14"" FHD/Win 11S Home/Silver + MS Office 365 for 1 Year Preloaded","SAR 1,199.00",3.1
#23,"Meega 14.1"" FHD Laptop Computer, Intel Celeron N4020 Processor, 8GB DDR4 RAM, 256 GB SSD, Webcam, 5G Wi-Fi, USB 3.0, Bluetooth 4.2,Windows 10 Home, Ipuzzle Mousepad,Arabic keyboard (256 GB)",SAR 890.89,4
#24,"Lenovo,IdeaPad Gaming 3 15ACH6,Laptop,Ryzen 5 5600H,15.6Inches,8 GB RAM,NVIDIA GeForce RTX 3050 Ti 4GB GDDR6 Graphics,Windows 11 Home OS,Shadow Black","SAR 2,499.00",3.3
#25,"Lenovo IdeaPad 3 15ITL06 82H801EFUS 15.6"" Notebook - Full HD - 1920 x 1080 - Intel Core i3 11th Gen i3-1115G4 Dual-core (2 Core) 3 GHz - 8 GB RAM - 256 GB SSD - Gray - Intel Chip - Windows","SAR 1,449.00",3
#26,"ASUS VIVOBOOK LAPTOP E510MA-BR633WS / INTEL CELERON-N4020 / 4GB RAM DDR4 / 128 SSD Hard / 15.6"" HD ANTI-GLARE / WIN11+ OFFICE 365/AR-EN KEYBOARD/2Y INT'L WARRANTY - Peacock blue",SAR 899.00,4.1
#27,"Laptop Acer Aspire 3 A315 Intel Core i5-1135G7 Processor 4.20GHz, 8GB Ram, 256GB SSD, Intel IrisXe Graphics,15.6-inch FHD Display 1920x1080, Free Dos - Pure Silver","SAR 1,559.00",3.3
#28,"Dell Vostro 14 3400 Laptop with 14"" FHD Display, Intel Core i5 1135G7 Processor |16GB DDR4 Ram |512GB NVMe M.2 SSD |Nvidia Geforce MX330 2GB Graphics |Windows-10 Pro","SAR 2,278.24",4.5
#29,"Asus Vivobook Laptop X1605YA /AMD R5-7530U/ 8GB RAM / 1TB SSD Storage /16"" Inch WUXGA (1920 x 1200) /WIN 11/ AR-EN Keyboard/ 2Y Int'l Warranty","SAR 1,934.00",4.9
#30,"Microsoft Surface Laptop 5 with 13.5"" PixelSense Display 12th Gen Intel® Core™ i5-1235U Processor Intel® Iris® Xe Graphics eligible 8 GB RAM 256GB SSD - Windows 11 Home - Platinum","SAR 3,499.00",4.3
#31,"Asus vivobook Laptop,x1502za-ej920w,15.6"" fhd, core i5 1235u,4gb ram,256 ssd, ar-en keyboard, blue, win 11,2y international warranty","SAR 1,597.00",3.6
#32,"Victus Gaming Laptop 16-s0002nx, 16.1"" FHD, AMD Ryzen 7 7840HS, NVIDIA GeForce RTX 4050, 16GB RAM, 1TB SSD, Windows 11 Home, Mica silver - 88H75EA","SAR 4,598.00",3.9
#33,"Apple 2022 MacBook Air laptop with M2 chip: 13.6-inch Liquid Retina display, 8GB RAM, 256GB SSD storage, 1080p FaceTime HD camera. Works with iPhone and iPad; Space Grey; Arabic/English","SAR 5,199.00",4.7
#34,"Lenovo ThinkPad E16 Business Laptop 16.0"" IPS FHD + WVA Display (10-Core, Intel i7-1355U, 16GB RAM, 512GB SSD, Backlit KYB, FP Reader, Thunderbolt 4, WiFi 6, Win 11 Pro) w/Dockztorm Hub","SAR 4,070.00",Rating N/A
#35,"MSI Cyborg 15 A12VF Gaming Laptop, Intel core i7-12650H, 15.6 Inch, 1TB NVMe SSD, 16GB RAM, RTX 4060, GDDR6 8GB, Windows® 11 Home, Eng/Arabic KB - Translucent Black","SAR 4,499.00",Rating N/A
#36,"Laptop Lenovo IdeaPad 1 Intel Core i5-1235U Processor 1.3 GHz, 8GB Ram, 512GB SDD M.2, Intel Iris Xᵉ Graphics, 15.6-inch FHD 1920x1080 Display, Free Dos - Colud Grey","SAR 1,849.00",4.1
#37,"Lenovo V14 ADA Laptop, AMD Ryzen 3 3250U 3.5GHz, 4GB RAM, 256GB SSD, DOS, 14"" FHD, Iron Grey - 82C600DXAD","SAR 1,199.00",3.6
#38,"Apple 2023 MacBook Pro (14-inch, Apple M3 chip with 8‑core CPU and 10‑core GPU, 8GB Unified Memory, 512GB) - Space Gray; Arabic/English","SAR 7,499.00",5
